CountryCode,Government,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
DZA,Government of Algeria,ProductionEntitlements,,0,,USD,44964455,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
AUS,Government of Australia,Tax,,0,,USD,634742799,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
AUS,Government of Australia,Tax,,0,,USD,333686463,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
AUS,Government of Australia,Tax,,0,,USD,35312229,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
AUS,Government of Australia,Royalties,,0,,USD,100029891,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
AUS,Government of Australia,Fees,,0,,USD,970117,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
AUS,State of Western Australia,Royalties,,0,,USD,752967748,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
AUS,State of Western Australia,Fees,,0,,USD,8431304,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
AUS,State of Western Australia,Infrastructure,,0,,USD,1563980,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
AUS,Town of Port Hedland (Western Australia),Fees,,0,,USD,3122738,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
AUS,Shire of East Pilbara (Western Australia),Fees,,0,,USD,48984,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
AUS,Shire of East Pilbara (Western Australia),Infrastructure,,0,,USD,8024,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
AUS,State of Queensland,Royalties,,0,,USD,333895188,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
AUS,State of Queensland,Fees,,0,,USD,5695874,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
AUS,Isaac Regional Council (Queensland),Fees,,0,,USD,17216,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
AUS,State of New South Wales,Royalties,,0,,USD,62680520,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
AUS,State of New South Wales,Fees,,0,,USD,2812888,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
