CountryCode,Government,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
USA,US Government,Tax,0,0,0,USD,10,Hunting PLC ,00974568,Arkansas,Extractive Industry Reporting,2015-12-31,1,,23 Feb 2017
USA,US Government,Tax,0,0,0,USD,7176,Hunting PLC ,00974568,Arkansas,Extractive Industry Reporting,2015-12-31,1,,23 Feb 2017
USA,US Government,Tax,0,0,0,USD,7,Hunting PLC ,00974568,Arkansas,Extractive Industry Reporting,2015-12-31,1,,23 Feb 2017
USA,US Government,Tax,0,0,0,USD,18,Hunting PLC ,00974568,Arkansas,Extractive Industry Reporting,2015-12-31,1,,23 Feb 2017
USA,US Government,Royalties,0,0,0,USD,3686,Hunting PLC ,00974568,Louisiana,Extractive Industry Reporting,2015-12-31,1,,23 Feb 2017
USA,US Government,Tax,0,0,0,USD,1398,Hunting PLC ,00974568,Louisiana,Extractive Industry Reporting,2015-12-31,1,,23 Feb 2017
USA,US Government,Tax,0,0,0,USD,10612,Hunting PLC ,00974568,Louisiana,Extractive Industry Reporting,2015-12-31,1,,23 Feb 2017
USA,US Government,Royalties,0,0,0,USD,27280,Hunting PLC ,00974568,Louisiana,Extractive Industry Reporting,2015-12-31,1,,23 Feb 2017
USA,US Government,Tax,0,0,0,USD,-1292,Hunting PLC ,00974568,Louisiana,Extractive Industry Reporting,2015-12-31,1,,23 Feb 2017
USA,US Government,Royalties,0,0,0,USD,29181,Hunting PLC ,00974568,Louisiana,Extractive Industry Reporting,2015-12-31,1,,23 Feb 2017
USA,US Government,Tax,0,0,0,USD,668,Hunting PLC ,00974568,Louisiana,Extractive Industry Reporting,2015-12-31,1,,23 Feb 2017
USA,US Government,Royalties,0,0,0,USD,45402,Hunting PLC ,00974568,Louisiana,Extractive Industry Reporting,2015-12-31,1,,23 Feb 2017
USA,US Government,Tax,0,0,0,USD,-4561,Hunting PLC ,00974568,Louisiana,Extractive Industry Reporting,2015-12-31,1,,23 Feb 2017
USA,US Government,Tax,0,0,0,USD,111,Hunting PLC ,00974568,Louisiana,Extractive Industry Reporting,2015-12-31,1,,23 Feb 2017
USA,US Government,Tax,0,0,0,USD,33,Hunting PLC ,00974568,Louisiana,Extractive Industry Reporting,2015-12-31,1,,23 Feb 2017
USA,US Government,Tax,0,0,0,USD,79,Hunting PLC ,00974568,Mississippi,Extractive Industry Reporting,2015-12-31,1,,23 Feb 2017
USA,US Government,Royalties,0,0,0,USD,1889,Hunting PLC ,00974568,Montana,Extractive Industry Reporting,2015-12-31,1,,23 Feb 2017
USA,US Government,Tax,0,0,0,USD,6624,Hunting PLC ,00974568,Montana,Extractive Industry Reporting,2015-12-31,1,,23 Feb 2017
USA,US Government,Tax,0,0,0,USD,1206,Hunting PLC ,00974568,North Dakota,Extractive Industry Reporting,2015-12-31,1,,23 Feb 2017
