Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
National government,DZA,90813834,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,AUS,18147907,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,AUS,20273368,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,AZE,11540480,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,BGD,5670960,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,BEL,5752743,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,BRA,1044444,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,BGR,1989222,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,CMR,18972344,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,CAN,50284077,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,CAN,15142937,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,CHL,232189,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,CHL,120499,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,CHN,15609049,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,COL,29026685,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,COL,3115017,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,CRI,433639,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,CRI,161314,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,HRV,511606,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,CZE,2310634,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,ECU,1479389,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,ECU,6129172,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,EGY,30542748,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,EGY,152190,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,SLV,17747436,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,SLV,1075672,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,FRA,12324179,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,FRA,1100794,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,DEU,2834731,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,DEU,2107631,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,GRC,564811,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,GRC,4200314,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,HUN,296989,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,HUN,390354,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,IND,192742606,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,IND,53074298,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,IDN,17894960,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,IDN,6605189,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,IRQ,46212422,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,ITA,1474487,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,JOR,1671811,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,KEN,19610933,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
Regional/ local government,KEN,741720,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
National government,LBN,10097936,CHF,Aggregate Industries UK Limited,00245717,2015-12-31,1,,Report on Payments to Governments,,25 Oct 2016
