Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Office of State Revenue,AUS,2936000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Office of State Revenue,AUS,793000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Queensland Government,AUS,3964000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Department of Natural Resources and Mines,AUS,2655000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Western Downs Regional Council,AUS,9640000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Western Downs Regional Council,AUS,19263000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Toowoomba Regional Council,AUS,846000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
North Burnett Regional Council,AUS,122000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Banana Shire Council,AUS,506000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
National General Treasury,BOL,13344000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Internal Revenue Services,BOL,61788000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Ministerio de Hidrocarburos y Energía,BOL,249000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Yacimientos Petroliferous Fiscales Bolivianos,BOL,8241000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Agência Nacional do Petróleo,BRA,771000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Secretaria da Receita Federal do Brasil,BRA,70975000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Secretaria da Receita Federal do Brasil,BRA,537757000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Egyptian Tax Authority,EGY,14315000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Egyptian General Petroleum Company,EGY,477019000,USD,BG Group Ltd,03690065,2015-12-31,1,In kind payments,Extractives Report,,27 Jun 2016
Income Tax Department,IND,23502000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Ministry of Petroleum and Natural Gas,IND,81145000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Ministry of Petroleum and Natural Gas,IND,42313000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Central Board of Excise and Customs,IND,12455000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
State Revenue Committee of the Ministry of Finance of the Republic of Kazakhstan,KAZ,194629000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Ministry of Energy,KEN,528000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Oil Tax Office,NOR,-24642000,USD,BG Group Ltd,03690065,2015-12-31,1,Amounts recieved from government,Extractives Report,,27 Jun 2016
Oiljedirektorater,NOR,768000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Tanzania Petroleum Development Corporation,TZA,537000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Revenue Department,THA,160577000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Department of Minerals Fuels,THA,77911000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Ministry of Energy,THA,24812000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Ministry of Energy and Energy Industries,TTO,205285000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Ministry of Energy and Energy Industries,TTO,5951000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Ministry of Energy and Energy Industries,TTO,6740000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Ministry of Finance - Inland Revenue Division,TTO,11761000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Ministry of Finance - Inland Revenue Division,TTO,454000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Monsieur le Receveur des Finances du Lac,TUN,66506000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Monsieur le Receveur des Finances du Lac,TUN,27660000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Entreprise Tunisienne d’Activités Pétrolières,TUN,7199000,USD,BG Group Ltd,03690065,2015-12-31,1,In kind payments,Extractives Report,,27 Jun 2016
Her Majesty's Revenue & Customs,GBR,406462000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Department of Energy and Climate Change,GBR,1562000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Health and Safety Executive,GBR,324000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
"Administración Nacional de Combustibles, Alcoholes y Portland",URY,300000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
