Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Government of Algeria,DZA,44964455,USD,BHP Billiton Plc ,03196209,2016-06-30,1,,Extractive Industry Reporting ,0,04 Nov 2016
Government of Australia,AUS,1104741499,USD,BHP Billiton Plc ,03196209,2016-06-30,1,,Extractive Industry Reporting ,0,04 Nov 2016
State of Western Australia,AUS,762963032,USD,BHP Billiton Plc ,03196209,2016-06-30,1,,Extractive Industry Reporting ,0,04 Nov 2016
Town of Port Hedland (Western Australia),AUS,3122738,USD,BHP Billiton Plc ,03196209,2016-06-30,1,,Extractive Industry Reporting ,0,04 Nov 2016
Shire of East Pilbara (Western Australia),AUS,57008,USD,BHP Billiton Plc ,03196209,2016-06-30,1,,Extractive Industry Reporting ,0,04 Nov 2016
State of Queensland,AUS,339591062,USD,BHP Billiton Plc ,03196209,2016-06-30,1,,Extractive Industry Reporting ,0,04 Nov 2016
Isaac Regional Council (Queensland),AUS,17216,USD,BHP Billiton Plc ,03196209,2016-06-30,1,,Extractive Industry Reporting ,0,04 Nov 2016
State of New South Wales,AUS,65493408,USD,BHP Billiton Plc ,03196209,2016-06-30,1,,Extractive Industry Reporting ,0,04 Nov 2016
Shire of Muswellbrook (New South Wales),AUS,77496,USD,BHP Billiton Plc ,03196209,2016-06-30,1,,Extractive Industry Reporting ,0,04 Nov 2016
State of South Australia,AUS,52121924,USD,BHP Billiton Plc ,03196209,2016-06-30,1,,Extractive Industry Reporting ,0,04 Nov 2016
Government of Brazil,BRA,9570746,USD,BHP Billiton Plc ,03196209,2016-06-30,1,,Extractive Industry Reporting ,0,04 Nov 2016
Government of Canada,CAN,9716464,USD,BHP Billiton Plc ,03196209,2016-06-30,1,,Extractive Industry Reporting ,0,04 Nov 2016
Government of Saskatchewan,CAN,26819683,USD,BHP Billiton Plc ,03196209,2016-06-30,1,,Extractive Industry Reporting ,0,04 Nov 2016
Rural Municipality of Leroy (Saskatchewan),CAN,4090764,USD,BHP Billiton Plc ,03196209,2016-06-30,1,,Extractive Industry Reporting ,0,04 Nov 2016
Rural Municipality of Prairie Rose (Saskatchewan),CAN,370114,USD,BHP Billiton Plc ,03196209,2016-06-30,1,,Extractive Industry Reporting ,0,04 Nov 2016
Government of British Columbia,CAN,35590,USD,BHP Billiton Plc ,03196209,2016-06-30,1,,Extractive Industry Reporting ,0,04 Nov 2016
