Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Argentina - National,ARG,7159000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Argentina - Regional - Catamarca,ARG,16586000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Argentina - Regional - Jujuy Province,ARG,1075000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Argentina - Local - San Juan,ARG,147000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Australia - National,AUS,66195278,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Australia - Regional - New South Wales,AUS,250816074,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Australia - Regional - Northern Territory,AUS,811828,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Australia - Regional - Queensland,AUS,152418792,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Australia - Regional - Western Australia,AUS,14809657,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Australia - Local -  Muswellbrook Shire Council,AUS,1020979,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Australia - Local - Singleton Shire Council,AUS,17049835,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Bolivia - National,BOL,27316000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Burkina Faso - National,BFA,1696000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Canada - National,CAN,14577000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Canada - Regional - British Columbia,CAN,819000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Canada - Regional - Nunavut,CAN,44000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Canada - Regional - Ontario,CAN,15439000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Canada - Regional - Quebec,CAN,15099000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Chad - National,TCD,79880000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Chile - National,CHL,748000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Chile - Local - Punitaqui,CHL,125000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Chile - Local - Sierra Gorda,CHL,541000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Colombia - National,COL,136798000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Colombia - Regional - Cesar,COL,3000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
DRC - National,COD,363964000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Equatorial Guinea - National,GNQ,296050000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Kazakhstan - National,KAZ,145876000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Namibia - National,NAM,7702000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Peru - National,PER,84909000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Peru - Local - Lima,PER,4716000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
South Africa - National ,ZAF,14072999,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Tanzania - National,TZA,206000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Zambia - National,ZMB,42159000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
