Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
ARGENTINA NATIONAL,ARG,399739,USD,Rio Tinto PLC,00719885,2015-12-31,1,Any amounts in local currency are converted to US$ at the average exchange rate for the year.,Extractive Industry Reporting,,29 Jun 2016
AUSTRALIA FEDERAL,AUS,1927154882,USD,Rio Tinto PLC,00719885,2015-12-31,1,Any amounts in local currency are converted to US$ at the average exchange rate for the year.,Extractive Industry Reporting,,29 Jun 2016
BRAZIL NATIONAL,BRA,354611,USD,Rio Tinto PLC,00719885,2015-12-31,1,Any amounts in local currency are converted to US$ at the average exchange rate for the year.,Extractive Industry Reporting,,29 Jun 2016
CALIFORNIA GOVERNMENT,USA,3740187,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
CANADA FEDERAL,CAN,23588744,USD,Rio Tinto PLC,00719885,2015-12-31,1,Any amounts in local currency are converted to US$ at the average exchange rate for the year.,Extractive Industry Reporting,,29 Jun 2016
CHILE NATIONAL,CHL,555753,USD,Rio Tinto PLC,00719885,2015-12-31,1,Any amounts in local currency are converted to US$ at the average exchange rate for the year.,Extractive Industry Reporting,,29 Jun 2016
CITY OF KARRATHA,CHL,104850,USD,Rio Tinto PLC,00719885,2015-12-31,1,Any amounts in local currency are converted to US$ at the average exchange rate for the year.,Extractive Industry Reporting,,29 Jun 2016
COLUMBIA NATIONAL,COL,341011,USD,Rio Tinto PLC,00719885,2015-12-31,1,Any amounts in local currency are converted to US$ at the average exchange rate for the year.,Extractive Industry Reporting,,29 Jun 2016
GUINEA NATIONAL,GIN,52995,USD,Rio Tinto PLC,00719885,2015-12-31,1,Any amounts in local currency are converted to US$ at the average exchange rate for the year.,Extractive Industry Reporting,,29 Jun 2016
INDONESIA NATIONAL,IDN,-5781068,USD,Rio Tinto PLC,00719885,2015-12-31,1,Any amounts in local currency are converted to US$ at the average exchange rate for the year.,Extractive Industry Reporting,,29 Jun 2016
KHANBOGD SUM,MNG,7560161,USD,Rio Tinto PLC,00719885,2015-12-31,1,Any amounts in local currency are converted to US$ at the average exchange rate for the year.,Extractive Industry Reporting,,29 Jun 2016
MADAGASCAR NATIONAL,MDG,679440,USD,Rio Tinto PLC,00719885,2015-12-31,1,Any amounts in local currency are converted to US$ at the average exchange rate for the year.,Extractive Industry Reporting,,29 Jun 2016
