ProjectCode,ProjectName,CountryCodeList,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
Corporate,Corporate-Anglo American Chile,CHL,Infrastructure,,0,,USD,5690401,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Corporate ,Corporate - Anglo American Niquel Brasil Ltda,BRA,Infrastructure,,0,,USD,4200453,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Corporate ,Corporate- Sishen Iron Ore Company (Pty) Ltd,ZAF,Infrastructure,,0,,USD,836708,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Corporate ,Corporate-Anglo Operations Proprietary Limited (Corporate),ZAF,Infrastructure,,0,,USD,20477627,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Gahcho Kué,Gahcho Kué,CAN,Infrastructure,,0,,USD,747429,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Kimberley Mines,Kimberley Mines,ZAF,Infrastructure,,0,,USD,403000,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Kolomela,Kolomela,ZAF,Infrastructure,,0,,USD,1152484,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Kumba Iron Ore - Sishen Mine,Kumba Iron Ore - Sishen Mine,ZAF,Infrastructure,,0,,USD,3677000,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Minas Rio,Minas Rio,BRA,Infrastructure,,0,,USD,16832673,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Mogalakwena,Mogalakwena,ZAF,Infrastructure,,0,,USD,166045,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Polokwane Smelter,Polokwane Smelter,ZAF,Infrastructure,,0,,USD,120247,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Rustenburg Base Metal Refinery,Rustenburg Base Metal Refinery,ZAF,Infrastructure,,0,,USD,243093,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Snap Lake,Snap Lake,CAN,Infrastructure,,0,,USD,1092701,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Twickenham,Twickenham,ZAF,Infrastructure,,0,,USD,126084,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Venetia Mine,Venetia Mine,ZAF,Infrastructure,,0,,USD,750000,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Voorspoed Mine,Voorspoed Mine,ZAF,Infrastructure,,0,,USD,424000,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Victor,Victor,CAN,Infrastructure,,0,,USD,3511447,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Callide,Callide,AUS,Fees,,0,,USD,524213,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Capcoal,Capcoal,AUS,Fees,,0,,USD,1093337,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Chapadao,Chapadao,BRA,Fees,,0,,USD,159728,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Corporate,Corporate,AUS,Fees,,0,,USD,13071,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Corporate,Corporate-Anglo American Niquel Brasil Ltda,BRA,Fees,,0,,USD,310936,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Corporate,Corporate-Anglo American Niobio Ltda,BRA,Fees,,0,,USD,17850,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Corporate,Corporate-Anglo American Fosfatos Ltda,BRA,Fees,,0,,USD,55426,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Corporate,Corporate-Anglo American Minerio de Ferro Brasil S.A,BRA,Fees,,0,,USD,918545,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Corporate,Corporate-Anglo American Sur S.A.,CHL,Fees,,0,,USD,3032655,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Corporate,Corporate-Anglo American Norte S.A.,CHL,Fees,,0,,USD,1706258,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Corporate,Corporate-Anglo American Quellaveco S.A.,PER,Fees,,0,,USD,183047,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Corporate,Corporate-Anglo American Perú S.A.,PER,Fees,,0,,USD,461600,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Corporate,Corporate-Anglo American Michiquillay S.A.,PER,Fees,,0,,USD,3709025,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Corporate,Lararmides Generative,USA,Fees,,0,,USD,162495,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Corporate,Corporate-Rustenburg Platinum Mines Ltd,ZAF,Fees,,0,,USD,37223,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Corporate,Corporate-De Beers Consolidated Mines (Pty) Ltd,ZAF,Fees,,0,,USD,744942,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Corporate,Corporate-Anglo American Inyosi Coal (Pty) Limited,ZAF,Fees,,0,,USD,5039,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Cubatao,Cubatao,BRA,Fees,,0,,USD,959,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Dawson,Dawson,AUS,Fees,,0,,USD,913202,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Foxleigh,Foxleigh,AUS,Fees,,0,,USD,256682,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Gahcho Kué,Gahcho Kué,CAN,Fees,,0,,USD,749720,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Grosvenor,Grosvenor,AUS,Fees,,0,,USD,125464,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Modikwa,Modikwa,ZAF,Fees,,0,,USD,760,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Moranbah North,Moranbah North,AUS,Fees,,0,,USD,478135,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Mototolo JV,Mototolo JV,ZAF,Fees,,0,,USD,4,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Puca Urku,Puca Urku,PER,Fees,,0,,USD,428,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Snap Lake,Snap Lake,CAN,Fees,,0,,USD,1228507,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Theodore South Exploration JV,Theodore South Exploration JV,AUS,Fees,,0,,USD,13051,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Unki,Unki,ZWE,Fees,,0,,USD,283004,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Victor,Victor,CAN,Fees,,0,,USD,3382841,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Western Zambia - AEZL,Western Zambia - AEZL,ZMB,Fees,,0,,USD,57000,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Western Zambia - MDML,Western Zambia - MDML,ZMB,Fees,,0,,USD,148000,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Barro Alto,Barro Alto,BRA,Royalties,,0,,USD,1065794,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Boa Vista,Boa Vista,BRA,Royalties,,0,,USD,160046,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Boa Vista (Fresh Rock),Boa Vista (Fresh Rock),BRA,Royalties,,0,,USD,271683,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
Callide,Callide,AUS,Royalties,,0,,USD,15697131,Anglo American plc,03564138,,Anglo American Report,2015-12-31,1,,30 Jun 2016
