ProjectCode,ProjectName,CountryCodeList,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
,Algeria Joint Interest Unit,IND,Fees,,0,,USD,4500000,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Algeria Joint Interest Unit,DZA,ProductionEntitlements,,0,,USD,44964455,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Australia Production Unit - Victoria,AUS,Tax,,0,,USD,6526354,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Australia Production Unit - Victoria,AUS,Tax,,0,,USD,17651859,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Australia Production Unit - Western Australia,AUS,Tax,,0,,USD,392655,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Australia Production Unit - Western Australia,AUS,Fees,,0,,USD,482056,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Australia Production Unit - Western Australia,AUS,Tax,,0,,USD,172637913,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Bass Strait,AUS,Tax,,0,,USD,73098672,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Bass Strait,AUS,Tax,,0,,USD,143396691,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Closed Mines,CAN,Tax,,0,,USD,9120771,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Closed Mines,CAN,Fees,,0,,USD,263509,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Closed Mines,USA,Fees,,0,,USD,575543,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Closed Mines,USA,Tax,,0,,USD,2720,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Corporate Head Office,AUS,Tax,,0,,USD,-299053105,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Corporate Head Office,CAN,Tax,,0,,USD,222,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Corporate Head Office,MYS,Tax,,0,,USD,2570,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Corporate Head Office,MNG,Tax,,0,,USD,17831,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Corporate Head Office,TZA,Tax,,0,,USD,429,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Corporate Head Office,GBR,Tax,,0,,USD,2252327,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Corporate Head Office,USA,Tax,,0,,USD,-4507816,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Corporate Head Office,AUS,Tax,,0,,USD,-3261156,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Escondida,CHL,Tax,,0,,USD,439859386,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Escondida,CHL,Fees,,0,,USD,5321005,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Escondida,CHL,Tax,,0,,USD,87959945,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Gulf of Mexico,USA,Tax,,0,,USD,13104424,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Gulf of Mexico,USA,Fees,,0,,USD,42729141,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Gulf of Mexico,USA,Royalties,,0,,USD,134133267,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Head Office - BHP Billiton Brasil Investimentos Ltda.,BRA,Tax,,0,,USD,727057,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Head Office - BHP Billiton Brasil Investimentos Ltda.,BRA,Tax,,0,,USD,386919,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Head Office - BHP Billiton Brasil Ltda,BRA,Tax,,0,,USD,8456770,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Head Office - BHP Billiton MetCoal Holdings Pty Ltd,AUS,Tax,,0,,USD,1068010,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Head Office - BHP Billiton Petroleum International Pty. Ltd.,AUS,Tax,,0,,USD,-173672465,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Head Office - BHP Billiton Petroleum International Pty. Ltd.,USA,Tax,,0,,USD,16603460,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
,Head Office - BHP Chile Inc,CHL,Tax,,0,,USD,-11524187,BHP Billiton Plc ,03196209,,Extractive Industry Reporting ,2016-06-30,1,0,04 Nov 2016
