ProjectCode,ProjectName,CountryCodeList,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
2002/15 (Atammik),2002/15 (Atammik),GRL,Fees,,0,,USD,27061,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
2005/06 (Lady Franklin),2005/06 (Lady Franklin),GRL,Fees,,0,,USD,50842,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
2008/11 ( Eqqua),2008/11 ( Eqqua),GRL,Fees,,0,,USD,63483,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
2011/13 (Pitu),2011/13 (Pitu),GRL,Fees,,0,,USD,63910,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
FEL 2/04,FEL 2/04,IRL,Fees,,0,,USD,23092,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
FEL 1/14,FEL 1/14,IRL,Fees,,0,,USD,45368,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
Corporate - Republic of Ireland,Corporate - Republic of Ireland,IRL,Tax,,0,,USD,343,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
Area 3 (Block 1),Area 3 (Block 1),MLT,Fees,,0,,USD,550500,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
P2149 (Block 1),P2149 (Block 1),GBR,Fees,,0,,USD,41039,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
New Opportunities - Norway,New Opportunities - Norway,NOR,Fees,,0,,USD,97707,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
Corporate - Norway,Corporate - Norway,NOR,Tax,,0,,USD,-51864778,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
Foum  Draa,Foum  Draa,MAR,Tax,,0,,USD,262452,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
Juby Maritime,Juby Maritime,MAR,Tax,,0,,USD,70297,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
Sangomar-Rufisque,Sangomar-Rufisque,SEN,Fees,,0,,USD,107055,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
