ProjectCode,ProjectName,CountryCodeList,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
P.1293,Athena,GBR,Fees,,1,,GBP,182400,Ithaca Energy (UK) Ltd,SC272009,Licence Fee,Extractives Report,2015-12-31,1,,16 Nov 2016
P.1293,Athena,GBR,Fees,,1,,GBP,30423,Ithaca Energy (UK) Ltd,SC272009,OGA Levy,Extractives Report,2015-12-31,1,,16 Nov 2016
P.128,Anglia,GBR,Fees,,1,,GBP,28805,Ithaca Energy (UK) Ltd,SC272009,Licence Fee,Extractives Report,2015-12-31,1,,16 Nov 2016
P.1011,Anglia,GBR,Fees,,1,,GBP,21197,Ithaca Energy (UK) Ltd,SC272009,Licence Fee,Extractives Report,2015-12-31,1,,16 Nov 2016
P.128,Anglia,GBR,Fees,,1,,GBP,30423,Ithaca Energy (UK) Ltd,SC272009,OGA Levy,Extractives Report,2015-12-31,1,,16 Nov 2016
P.1011,Anglia,GBR,Fees,,1,,GBP,30423,Ithaca Energy (UK) Ltd,SC272009,OGA Levy,Extractives Report,2015-12-31,1,,16 Nov 2016
P.534/PL089,Wytch Farm,GBR,Tax,,1,,GBP,643318,Ithaca Energy (UK) Ltd,SC272009,Petroleum Revenue Tax,Extractives Report,2015-12-31,1,,16 Nov 2016
P.534/PL089,Wytch Farm,GBR,Tax,,1,,GBP,70968,Ithaca Energy (UK) Ltd,SC272009,Petroleum Revenue Tax,Extractives Report,2015-12-31,1,,16 Nov 2016
P.534/PL089,Wytch Farm,GBR,Tax,,1,,GBP,436764,Ithaca Energy (UK) Ltd,SC272009,Petroleum Revenue Tax,Extractives Report,2015-12-31,1,,16 Nov 2016
P.534/PL089,Wytch Farm,GBR,Tax,,1,,GBP,436764,Ithaca Energy (UK) Ltd,SC272009,Petroleum Revenue Tax,Extractives Report,2015-12-31,1,,16 Nov 2016
P.534/PL089,Wytch Farm,GBR,Tax,,1,,GBP,436764,Ithaca Energy (UK) Ltd,SC272009,Petroleum Revenue Tax,Extractives Report,2015-12-31,1,,16 Nov 2016
P.534/PL089,Wytch Farm,GBR,Tax,,1,,GBP,436764,Ithaca Energy (UK) Ltd,SC272009,Petroleum Revenue Tax,Extractives Report,2015-12-31,1,,16 Nov 2016
P.534/PL089,Wytch Farm,GBR,Tax,,1,,GBP,436764,Ithaca Energy (UK) Ltd,SC272009,Petroleum Revenue Tax,Extractives Report,2015-12-31,1,,16 Nov 2016
P.534/PL089,Wytch Farm,GBR,Tax,,1,,GBP,436764,Ithaca Energy (UK) Ltd,SC272009,Petroleum Revenue Tax,Extractives Report,2015-12-31,1,,16 Nov 2016
P.534/PL089,Wytch Farm,GBR,Tax,,1,,GBP,186726,Ithaca Energy (UK) Ltd,SC272009,Petroleum Revenue Tax,Extractives Report,2015-12-31,1,,16 Nov 2016
P.534/PL089,Wytch Farm,GBR,Tax,,1,,GBP,186726,Ithaca Energy (UK) Ltd,SC272009,Petroleum Revenue Tax,Extractives Report,2015-12-31,1,,16 Nov 2016
P.534/PL089,Wytch Farm,GBR,Tax,,1,,GBP,186726,Ithaca Energy (UK) Ltd,SC272009,Petroleum Revenue Tax,Extractives Report,2015-12-31,1,,16 Nov 2016
P.534/PL089,Wytch Farm,GBR,Tax,,1,,GBP,186726,Ithaca Energy (UK) Ltd,SC272009,Petroleum Revenue Tax,Extractives Report,2015-12-31,1,,16 Nov 2016
P.534/PL089,Wytch Farm,GBR,Tax,,1,,GBP,186726,Ithaca Energy (UK) Ltd,SC272009,Petroleum Revenue Tax,Extractives Report,2015-12-31,1,,16 Nov 2016
P.534/PL089,Wytch Farm,GBR,Tax,,1,,GBP,-940423,Ithaca Energy (UK) Ltd,SC272009,Petroleum Revenue Tax,Extractives Report,2015-12-31,1,,16 Nov 2016
