ProjectCode,ProjectName,CountryCodeList,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
GIN001,Societe Miniere de Dinguiraye,GIN,Tax,,,,USD,12399031,Nord Gold SE,SE000102,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,1,,16 Nov 2016
GIN001,Societe Miniere de Dinguiraye,GIN,Infrastructure,,,,USD,1200863,Nord Gold SE,SE000102,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,1,,16 Nov 2016
BFA001,Societe des Mines de Taparko,BFA,Tax,,,,USD,6724535,Nord Gold SE,SE000102,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,1,,16 Nov 2016
BFA001,Societe des Mines de Taparko,BFA,Dividends,,,,USD,315114,Nord Gold SE,SE000102,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,1,,16 Nov 2016
BFA002,Bissa Gold SA,BFA,Tax,,,,USD,31392421,Nord Gold SE,SE000102,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,1,,16 Nov 2016
BFA002,Bissa Gold SA,BFA,Dividends,,,,USD,1914657,Nord Gold SE,SE000102,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,1,,16 Nov 2016
BFA003,Jilbey Burkina SARL,BFA,Tax,,,,USD,142747,Nord Gold SE,SE000102,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,1,,16 Nov 2016
KAZ001,"""FIC ""Alel"" JSC",KAZ,Tax,,,,USD,9828257,Nord Gold SE,SE000102,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,1,,16 Nov 2016
RUS001,Mine Aprelkovo CJSC,RUS,Tax,,,,USD,1137945,Nord Gold SE,SE000102,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,1,,16 Nov 2016
RUS002,Neryungri-Metallic LLC,RUS,Tax,,,,USD,4544280,Nord Gold SE,SE000102,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,1,,16 Nov 2016
RUS003,Buryatzoloto JSC,RUS,Tax,,,,USD,20239845,Nord Gold SE,SE000102,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,1,,16 Nov 2016
RUS004,Berezitovy rudnik LLC,RUS,Tax,,,,USD,26427865,Nord Gold SE,SE000102,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,1,,16 Nov 2016
