ProjectCode,ProjectName,CountryCodeList,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
Midas Block,Midas Block,COL,Royalties,In Kind Barrels of Oil,119455,Market Value,USD,4868562,PetroLatina Energy Ltd. (consolidated group),05173588,Value based on Sales price less Sales Prices Contracts discount by delivery point,Extractives Report,2015-12-31,1,Amounts in currencies other than United States dollars have been translated at the exchange rate at date of the payment,05 Dec 2016
Midas Block,Midas Block,COL,Royalties,Cash,0,,USD,310036,PetroLatina Energy Ltd. (consolidated group),05173588,,Extractives Report,2015-12-31,1,Amounts in currencies other than United States dollars have been translated at the exchange rate at date of the payment,05 Dec 2016
Midas Block,Midas Block,COL,Fees,Cash,0,,USD,189097,PetroLatina Energy Ltd. (consolidated group),05173588,,Extractives Report,2015-12-31,1,Amounts in currencies other than United States dollars have been translated at the exchange rate at date of the payment,05 Dec 2016
Midas Block,Midas Block,COL,Infrastructure,In Kind Services and Materials,0,Market Value,USD,218945,PetroLatina Energy Ltd. (consolidated group),05173588,Amount based on market rate for material and labour services incurred to develop infrastructure on government land adjacent to company operations.,Extractives Report,2015-12-31,1,Amounts in currencies other than United States dollars have been translated at the exchange rate at date of the payment,05 Dec 2016
Paloma Block,Paloma Block,COL,Royalties,In Kind Barrels of Oil,11722,Market Value,USD,414993,PetroLatina Energy Ltd. (consolidated group),05173588,Value based on Sales price less Sales Prices Contracts discount by delivery point,Extractives Report,2015-12-31,1,Amounts in currencies other than United States dollars have been translated at the exchange rate at date of the payment,05 Dec 2016
Paloma Block,Paloma Block,COL,Royalties,Cash,0,,USD,28780,PetroLatina Energy Ltd. (consolidated group),05173588,,Extractives Report,2015-12-31,1,Amounts in currencies other than United States dollars have been translated at the exchange rate at date of the payment,05 Dec 2016
Paloma Block,Paloma Block,COL,Infrastructure,In Kind Services and Materials,0,Market Value,USD,96364,PetroLatina Energy Ltd. (consolidated group),05173588,Amount based on market rate for material and labour services incurred to develop infrastructure on government land adjacent to company operations.,Extractives Report,2015-12-31,1,Amounts in currencies other than United States dollars have been translated at the exchange rate at date of the payment,05 Dec 2016
Tisquirama B Block,Tisquirama B Block,COL,Royalties,In Kind Barrels of Oil,67053,Market Value,USD,2075635,PetroLatina Energy Ltd. (consolidated group),05173588,Value based on Sales price less Sales Prices Contracts discount by delivery point,Extractives Report,2015-12-31,1,Amounts in currencies other than United States dollars have been translated at the exchange rate at date of the payment,05 Dec 2016
Tisquirama B Block,Tisquirama B Block,COL,Royalties,Cash,0,,USD,1472,PetroLatina Energy Ltd. (consolidated group),05173588,,Extractives Report,2015-12-31,1,Amounts in currencies other than United States dollars have been translated at the exchange rate at date of the payment,05 Dec 2016
Tisquirama A Block,Tisquirama A Block,COL,Royalties,In Kind Barrels of Oil,21450,Market Value,USD,732690,PetroLatina Energy Ltd. (consolidated group),05173588,Value based on Sales price less Sales Prices Contracts discount by delivery point,Extractives Report,2015-12-31,1,Amounts in currencies other than United States dollars have been translated at the exchange rate at date of the payment,05 Dec 2016
Unallocated,Unallocated,COL,Tax,Cash,0,,USD,11946476,PetroLatina Energy Ltd. (consolidated group),05173588,,Extractives Report,2015-12-31,1,Amounts in currencies other than United States dollars have been translated at the exchange rate at date of the payment,05 Dec 2016
