ProjectCode,ProjectName,CountryCodeList,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
CIV01,CI-26 Espoir,CIV,ProductionEntitlements,BOE,0,Not assigned,USD,273751,Tullow Oil PLC,03919249,,Extractives Report,2015-12-31,1,,28 Nov 2016
COD01,M'boundi,COD,ProductionEntitlements,BOE,225784,Tullow's 2015 average realised oil price,USD,15127543,Tullow Oil PLC,03919249,,Extractives Report,2015-12-31,1,,28 Nov 2016
ETH01,South Omo,ETH,Fees,BOE,0,Not assigned,USD,440680,Tullow Oil PLC,03919249,,Extractives Report,2015-12-31,1,,28 Nov 2016
ETH01,South Omo,ETH,Infrastructure,BOE,0,Not assigned,USD,196729,Tullow Oil PLC,03919249,,Extractives Report,2015-12-31,1,,28 Nov 2016
GAB01,Echira,GAB,Royalties,BOE,0,Not assigned,USD,1303643,Tullow Oil PLC,03919249,,Extractives Report,2015-12-31,1,,28 Nov 2016
GAB02,Etame,GAB,Royalties,BOE,0,Not assigned,USD,3123930,Tullow Oil PLC,03919249,,Extractives Report,2015-12-31,1,,28 Nov 2016
GAB03,Ezanga,GAB,Royalties,BOE,0,Not assigned,USD,706470,Tullow Oil PLC,03919249,,Extractives Report,2015-12-31,1,,28 Nov 2016
GAB03,Ezanga,GAB,Bonuses,BOE,0,Not assigned,USD,20000000,Tullow Oil PLC,03919249,,Extractives Report,2015-12-31,1,,28 Nov 2016
GAB04,Ingongo,GAB,Royalties,BOE,0,Not assigned,USD,94142,Tullow Oil PLC,03919249,,Extractives Report,2015-12-31,1,,28 Nov 2016
GAB05,Limande,GAB,Royalties,BOE,0,Not assigned,USD,3235887,Tullow Oil PLC,03919249,,Extractives Report,2015-12-31,1,,28 Nov 2016
GAB06,M'Oba,GAB,Royalties,BOE,0,Not assigned,USD,157462,Tullow Oil PLC,03919249,,Extractives Report,2015-12-31,1,,28 Nov 2016
GAB07,Niungo,GAB,Royalties,BOE,0,Not assigned,USD,3013410,Tullow Oil PLC,03919249,,Extractives Report,2015-12-31,1,,28 Nov 2016
GAB08,Oba,GAB,Royalties,BOE,0,Not assigned,USD,1105736,Tullow Oil PLC,03919249,,Extractives Report,2015-12-31,1,,28 Nov 2016
GAB09,Tchatamba,GAB,Royalties,BOE,0,Not assigned,USD,9413126,Tullow Oil PLC,03919249,,Extractives Report,2015-12-31,1,,28 Nov 2016
GAB10,Tulipe Oil SA,GAB,Tax,BOE,0,Not assigned,USD,2121853,Tullow Oil PLC,03919249,,Extractives Report,2015-12-31,1,,28 Nov 2016
GAB11,Tullow Oil Gabon SA,GAB,Tax,BOE,0,Not assigned,USD,15775329,Tullow Oil PLC,03919249,,Extractives Report,2015-12-31,1,,28 Nov 2016
