ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Corporate,PC001,793000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
QCLNG,PC001,2936000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
QCLNG,PC001,12801000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
QCLNG,PC001,24195000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Corporate,PC002,61788000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Haucareta,PC002,1121000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
La Vertiente,PC002,13344000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
La Vertiente,PC002,7369000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Corporate,PC003,70975000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Barreirinhas Basin,PC003,771000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
BM-S-9,PC003,196113000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
BM-S-11,PC003,341644000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
WDDM,PC004,440795000,USD,BG Group Ltd,03690065,2015-12-31,1,in kind payments,Extractives Report,,27 Jun 2016
Rosetta,PC004,14315000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Rosetta,PC004,36224000,USD,BG Group Ltd,03690065,2015-12-31,1,in kind payments,Extractives Report,,27 Jun 2016
Corporate,PC005,23502000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Tapti,PC005,2662000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Panna-Mukhta,PC005,52106000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Panna-Mukhta,PC005,81145000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Karachaganak,PC006,194629000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
L10A,PC007,275000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
L10B,PC007,253000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Corporate,PC008,-24642000,USD,BG Group Ltd,03690065,2015-12-31,1,Amounts recieved from government,Extractives Report,,27 Jun 2016
PL373S,PC008,768000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Block 1,PC009,311000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Block 4,PC009,226000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Bongkot,PC010,160577000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Bongkot,PC010,102723000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
ECMA,PC011,3384000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
ECMA,PC011,109467000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Central Block,PC011,5333000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Central Block,PC011,6405000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Central Block,PC011,2013000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
NCMA,PC011,95818000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
NCMA,PC011,6428000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
NCMA,PC011,1343000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Hasdrubal,PC012,33098000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Hasdrubal,PC012,4449000,USD,BG Group Ltd,03690065,2015-12-31,1,in kind payments,Extractives Report,,27 Jun 2016
Hasdrubal,PC012,9231000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Miskar,PC012,33408000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Miskar,PC012,2750000,USD,BG Group Ltd,03690065,2015-12-31,1,in kind payments,Extractives Report,,27 Jun 2016
Miskar,PC012,18429000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Corporate,PC013,395000000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Central North Sea,PC013,339000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Armada,PC013,1547000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
J Block / Jade,PC013,11462000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Block 8,PC014,100000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Block 9,PC014,100000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
Block 13,PC014,100000,USD,BG Group Ltd,03690065,2015-12-31,1,,Extractives Report,,27 Jun 2016
