ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Entity  Level,GBR1,-2096147,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
A Fields,GBR2,-3541941,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Alba,GBR3,1139899,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Amethyst East,GBR4,245369,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Brae,GBR5,-1279874,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Chestnut,GBR6,78555,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Eris/Ceres,GBR7,409747,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Galleon,GBR8,-92672,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Greater Markham Area,GBR9,1067240,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Greater York,GBR10,61965,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Morecambe Hub,GBR11,13808604,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Ravenspurn,GBR12,548555,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Rose,GBR13,288357,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Seven Seas,GBR14,364350,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Statfjord,GBR15,-14960767,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Trees,GBR16,54362,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Victor,GBR17,-3419496,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
York,GBR18,437673,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Exploration Licences,GBR19,723336,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Entity  Level,NLD1,-6649176,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Greater Markham Area,NLD2,376754,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
F3/FA,NLD3,34017,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Entity Level,NOR1,128185191,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Butch,NOR2,955583,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Fogelberg,NOR3,315155,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Frigg Gamma Delta,NOR4,699269,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Ivory,NOR5,3223190,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Vale,NOR6,332561,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Entity Level,CAN1,12204240,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Foothills Operating Area,CAN2,5539372,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Hanlan Robb Operating Area,CAN3,4466231,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
North Operating Area,CAN4,8096128,GBP,Centrica Plc,03033654,2015-12-31,1,Includes Royalties of £4.23m of which £2.1m is payments in kind for 80956 boe at market price,Extractives Report,,17 Nov 2016
South Operating Area,CAN5,5186622,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Peace River Arch Operating Area,CAN6,4551975,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Block 1a,TTO1,727147,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Block 1b,TTO2,1059770,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Block 22,TTO3,231249,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
NCMA-4,TTO4,1113080,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
NCMA-1,TTO5,3127764,GBP,Centrica Plc,03033654,2015-12-31,1,Settled on behalf of Centrica by Ministry of Energy and Energy Affairs to the Ministry of Finance under terms of Production Sharing Contract,Extractives Report,,17 Nov 2016
