ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Alba Field,GBR001,11066119,GBP,Endeavour Energy UK Limited,05030838,2015-12-31,1,,Extractives Report,,30 Nov 2016
P339,GBR002,260823,GBP,Endeavour Energy UK Limited,05030838,2015-12-31,1,,Extractives Report,,30 Nov 2016
P2034,GBR003,5189,GBP,Endeavour Energy UK Limited,05030838,2015-12-31,1,,Extractives Report,,30 Nov 2016
P1991,GBR004,14264,GBP,Endeavour Energy UK Limited,05030838,2015-12-31,1,,Extractives Report,,30 Nov 2016
P1990,GBR005,50879,GBP,Endeavour Energy UK Limited,05030838,2015-12-31,1,,Extractives Report,,30 Nov 2016
P2065,GBR006,20534,GBP,Endeavour Energy UK Limited,05030838,2015-12-31,1,,Extractives Report,,30 Nov 2016
P226,GBR007,86038,GBP,Endeavour Energy UK Limited,05030838,2015-12-31,1,,Extractives Report,,30 Nov 2016
P1948,GBR008,112229,GBP,Endeavour Energy UK Limited,05030838,2015-12-31,1,,Extractives Report,,30 Nov 2016
P592,GBR009,162423,GBP,Endeavour Energy UK Limited,05030838,2015-12-31,1,,Extractives Report,,30 Nov 2016
P1615,GBR010,68853,GBP,Endeavour Energy UK Limited,05030838,2015-12-31,1,,Extractives Report,,30 Nov 2016
