ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Cienega,CIE,3970249,USD,FRESNILLO PLC,06344120,2015-12-31,1,,Extractives Report,,16 Jun 2016
Fresnillo,FRE,7008600,USD,FRESNILLO PLC,06344120,2015-12-31,1,,Extractives Report,,16 Jun 2016
Herradura / Nochebuena,HER,16629556,USD,FRESNILLO PLC,06344120,2015-12-31,1,,Extractives Report,,16 Jun 2016
San Julian,SJU,3031628,USD,FRESNILLO PLC,06344120,2015-12-31,1,,Extractives Report,,16 Jun 2016
Saucito,SAU,-9152842,USD,FRESNILLO PLC,06344120,2015-12-31,1,Payments are reported net of refunds. ,Extractives Report,,16 Jun 2016
"Comercializadora de Metales Fresnillo, S.A. de C.V.",CMF,1322321,USD,FRESNILLO PLC,06344120,2015-12-31,1,,Extractives Report,,16 Jun 2016
"Compañía Minera Las Torres, S.A. de C.V.",CMT,-456480,USD,FRESNILLO PLC,06344120,2015-12-31,1,Payments are reported net of refunds. ,Extractives Report,,16 Jun 2016
Exploraciones Mineras Parreña S.A. De C.V.,EMP,-7880944,USD,FRESNILLO PLC,06344120,2015-12-31,1,Payments are reported net of refunds. ,Extractives Report,,16 Jun 2016
Fresnillo plc,FPL,2270438,USD,FRESNILLO PLC,06344120,2015-12-31,1,,Extractives Report,,16 Jun 2016
"Operaciones Fresnillo, S.A. de C.V.",OPF,1073672,USD,FRESNILLO PLC,06344120,2015-12-31,1,,Extractives Report,,16 Jun 2016
"Servicios Administrativos Fresnillo, S.A. de C.V.",SAF,313429,USD,FRESNILLO PLC,06344120,2015-12-31,1,,Extractives Report,,16 Jun 2016
Servicios de Exploracion Fresnillo S.A. De C.V.,SEF,267462,USD,FRESNILLO PLC,06344120,2015-12-31,1,,Extractives Report,,16 Jun 2016
"Fresnillo Perú, S.A.C.                                                           ",FPE,1417328,USD,FRESNILLO PLC,06344120,2015-12-31,1,,Extractives Report,,16 Jun 2016
