ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Artemyevsky,ART,16147,USD,KAZ Minerals PLC,05180783,2015-12-31,1,KAZ in thousands,Report on Payments to Governments,,28 Nov 2016
Irtyshsky,IRT,7585,USD,KAZ Minerals PLC,05180783,2015-12-31,1,KAZ in thousands,Report on Payments to Governments,,28 Nov 2016
Orlovsky,ORL,23836,USD,KAZ Minerals PLC,05180783,2015-12-31,1,KAZ in thousands,Report on Payments to Governments,,28 Nov 2016
Yubileyno-Snegirikhinsky ,YUB,5126,USD,KAZ Minerals PLC,05180783,2015-12-31,1,KAZ in thousands,Report on Payments to Governments,,28 Nov 2016
Legal entity - East Region,EAS,42166,USD,KAZ Minerals PLC,05180783,2015-12-31,1,KAZ in thousands,Report on Payments to Governments,,28 Nov 2016
Aktogay,AKT,7605,USD,KAZ Minerals PLC,05180783,2015-12-31,1,KAZ in thousands,Report on Payments to Governments,,28 Nov 2016
Bozshakol,BOZ,4446,USD,KAZ Minerals PLC,05180783,2015-12-31,1,KAZ in thousands,Report on Payments to Governments,,28 Nov 2016
Koksay,KOK,11389,USD,KAZ Minerals PLC,05180783,2015-12-31,1,KAZ in thousands,Report on Payments to Governments,,28 Nov 2016
Other legal entity,KAZ,155,USD,KAZ Minerals PLC,05180783,2015-12-31,1,KAZ in thousands,Report on Payments to Governments,,28 Nov 2016
Bozymchak,BOK,1574,USD,KAZ Minerals PLC,05180783,2015-12-31,1,KGZ in thousands,Report on Payments to Governments,,28 Nov 2016
Legal entity,GBR,6364,USD,KAZ Minerals PLC,05180783,2015-12-31,1,GBR in thousands,Report on Payments to Governments,,28 Nov 2016
Legal entity,HKG,145,USD,KAZ Minerals PLC,05180783,2015-12-31,1,HKG in thousands,Report on Payments to Governments,,28 Nov 2016
