ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
ACAMBUCO,AR15002,5338345,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
ALASKA EXPLORATION,US15001,6882404,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
APPALACHIA,US15005,13164884,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
ARGENTINA UNCONVENTIONAL PROJECTS,AR15001,16614713,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
ATHABASCA OIL SANDS,CA15006,73296138,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
AUSTRALIA EXPLORATION PROJECTS,AU15007,208637,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
BADR EL-DIN (BED),EG15001,137921247,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
BASIN EXPLORATION PROJECTS,BR15003,582284,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
BC-10,BR15001,42572961,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
BIJUPIRA & SALEMA,BR15002,25244381,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
BLOCK 6 CONCESSION,OM15001,2089920954,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
BRENT AND OTHER NORTHERN NORTH SEA PROJECTS,UK15004,-153697991,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
BRUNEI OFFSHORE BLOCKS,BN15001,101953874,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
CHANGBEI,CN15001,429138778,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,"Payment in Kind for 11,452 KBOE valued at government selling price",Extractive Industry Reporting,,18 Apr 2016
CHANGBEI,CN15001,2402806,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,Payment in Kind for 50 KBOE valued at market price,Extractive Industry Reporting,,18 Apr 2016
CHANGBEI,CN15001,7686464,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,Payment in Kind for 205 KBOE valued at government selling price,Extractive Industry Reporting,,18 Apr 2016
CORRIB PROJECT,IE15001,4877756,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
FOOTHILLS,CA15005,19043663,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
GABON CENTRAL,GA15002,17266467,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
