CountryCode,Government,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
DZA,National government,Fees,,0,,CHF,1251577,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
DZA,National government,Infrastructure,,0,,CHF,200837,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
DZA,National government,Royalties,,0,,CHF,2958933,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
DZA,National government,Tax,,0,,CHF,86402487,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
AUS,National government,Fees,,0,,CHF,2619715,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
AUS,National government,Royalties,,0,,CHF,3490601,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
AUS,National government,Tax,,0,,CHF,12037591,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
AUS,Regional/ local government,Fees,,0,,CHF,9325776,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
AUS,Regional/ local government,Tax,,0,,CHF,10947591,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
AZE,National government,Fees,,0,,CHF,220398,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
AZE,National government,Tax,,0,,CHF,11320082,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
BGD,National government,Fees,,0,,CHF,298167,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
BGD,National government,Tax,,0,,CHF,5372793,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
BEL,Regional/ local government,ProductionEntitlements,,0,,CHF,2410856,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
BEL,Regional/ local government,Tax,,0,,CHF,3341887,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
BRA,National government,Tax,,0,,CHF,1044444,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
BGR,National government,Fees,,0,,CHF,1310135,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
BGR,National government,Tax,,0,,CHF,679087,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
CMR,National government,Fees,,0,,CHF,306782,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
CMR,National government,ProductionEntitlements,,0,,CHF,216788,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
CMR,National government,Tax,,0,,CHF,18448774,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
CAN,National government,Royalties,,0,,CHF,2338845,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
CAN,National government,Tax,,0,,CHF,47945232,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
CAN,Regional/ local government,Fees,,0,,CHF,4432744,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
CAN,Regional/ local government,Infrastructure,,0,,CHF,248345,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
CAN,Regional/ local government,Royalties,,0,,CHF,901935,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
CAN,Regional/ local government,Tax,,0,,CHF,9559914,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
CHL,National government,Fees,,0,,CHF,232189,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
CHL,Regional/ local government,Royalties,,0,,CHF,120499,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
CHN,National government,Infrastructure,,0,,CHF,831051,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
CHN,National government,Royalties,,0,,CHF,14777998,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
COL,National government,Royalties,,0,,CHF,517220,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
COL,National government,Tax,,0,,CHF,28509465,Aggregate Industries UK Limited,00245717,,Report on Payments to Governments,2015-12-31,1,,25 Oct 2016
