CountryCode,Government,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
AUS,Office of State Revenue,Royalties,,0,,USD,2936000,BG Group Ltd,03690065,,Extractives Report,2015-12-31,1,,27 Jun 2016
AUS,Office of State Revenue,Fees,,0,,USD,793000,BG Group Ltd,03690065,,Extractives Report,2015-12-31,1,,27 Jun 2016
AUS,Queensland Government,Infrastructure,,0,,USD,3964000,BG Group Ltd,03690065,,Extractives Report,2015-12-31,1,,27 Jun 2016
AUS,Department of Natural Resources and Mines,Fees,,0,,USD,2655000,BG Group Ltd,03690065,,Extractives Report,2015-12-31,1,,27 Jun 2016
AUS,Western Downs Regional Council,Fees,,0,,USD,9640000,BG Group Ltd,03690065,,Extractives Report,2015-12-31,1,,27 Jun 2016
AUS,Western Downs Regional Council,Infrastructure,,0,,USD,19263000,BG Group Ltd,03690065,,Extractives Report,2015-12-31,1,,27 Jun 2016
AUS,Toowoomba Regional Council,Infrastructure,,0,,USD,846000,BG Group Ltd,03690065,,Extractives Report,2015-12-31,1,,27 Jun 2016
AUS,North Burnett Regional Council,Infrastructure,,0,,USD,122000,BG Group Ltd,03690065,,Extractives Report,2015-12-31,1,,27 Jun 2016
AUS,Banana Shire Council,Fees,,0,,USD,506000,BG Group Ltd,03690065,,Extractives Report,2015-12-31,1,,27 Jun 2016
BOL,National General Treasury,Royalties,,0,,USD,13344000,BG Group Ltd,03690065,,Extractives Report,2015-12-31,1,,27 Jun 2016
BOL,Internal Revenue Services,Tax,,0,,USD,61788000,BG Group Ltd,03690065,,Extractives Report,2015-12-31,1,,27 Jun 2016
BOL,Ministerio de Hidrocarburos y Energía,Fees,,0,,USD,249000,BG Group Ltd,03690065,,Extractives Report,2015-12-31,1,,27 Jun 2016
BOL,Yacimientos Petroliferous Fiscales Bolivianos,Fees,,0,,USD,8241000,BG Group Ltd,03690065,,Extractives Report,2015-12-31,1,,27 Jun 2016
BRA,Agência Nacional do Petróleo,Fees,,0,,USD,771000,BG Group Ltd,03690065,,Extractives Report,2015-12-31,1,,27 Jun 2016
BRA,Secretaria da Receita Federal do Brasil,Tax,,0,,USD,70975000,BG Group Ltd,03690065,,Extractives Report,2015-12-31,1,,27 Jun 2016
