CountryCode,Government,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
GRL,Mineral Licence and Safety Authority,Fees,,0,,USD,27061,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
GRL,Mineral Licence and Safety Authority,Fees,,0,,USD,50842,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
GRL,Mineral Licence and Safety Authority,Fees,,0,,USD,63483,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
GRL,Mineral Licence and Safety Authority,Fees,,0,,USD,63910,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
IRL,"Department of Communications, Energy and Natural Resources",Fees,,0,,USD,23092,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
IRL,"Department of Communications, Energy and Natural Resources",Fees,,0,,USD,45368,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
IRL,Revenue Commissioners,Tax,,0,,USD,343,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
MLT,Ministry of Resources and Rural Affairs,Fees,,0,,USD,550500,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
GBR,Department of Energy and Climate Change,Fees,,0,,USD,41039,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
NOR,Oljedirektoratet,Fees,,0,,USD,97707,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
NOR,Skatteetaten,Tax,,0,,USD,-51864778,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
MAR,Le Receveur de L'Administration Fiscale,Tax,,0,,USD,262452,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
MAR,Le Receveur de L'Administration Fiscale,Tax,,0,,USD,70297,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
SEN,Societe Des Petroles Du Senegal,Fees,,0,,USD,107055,Cairn Energy PLC,SC226712,,Extractive Industry Reporting,2015-12-31,1,,01 Aug 2016
