CountryCode,Government,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
RUS,Federal government (MI FNS po krupneishim nalogoplatelschikam #5),Tax,,,,USD,12023754,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS,Regional government (MI FNS po krupneishim nalogoplatelschikam #5),Tax,,,,USD,90512441,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS,Local government (MRI FNS Rossii po Sverdlovskoy oblasti #27),Fees,,,,USD,963628,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS,Local government (Administraziya Kachkanarskogo GO),Fees,,,,USD,1332,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS,Local government (Komitet po imuschestvu Kachkanarskogo GO),Fees,,,,USD,11,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS,"Local government (MKU ""KUI Administraziya GO ""Gorod Lesnoy"")",Fees,,,,USD,5740,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS,Local government (TU Rosimuschestva Sverdlovskoy oblasti),Fees,,,,USD,44640,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS,Regional government (Kemerovskaya oblast),Tax,,,,USD,697713,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS,Local government (Novokuznetsk city),Fees,,,,USD,540259,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS,Local government (Tashtagol city),Fees,,,,USD,1333528,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS,Local government (Gurevsk city),Fees,,,,USD,260388,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS,Federal government (IFNS #13 Tuva Republic.),Tax,,,,USD,54436,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS,Federal government (IFNS #13 Tuva Republic.),Fees,,,,USD,16233,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS,Regional government (IFNS #1 Tuva Republic Kyzyl city - administraziya Tandinskogo kozhuuna I administraziya Kyzylskogo Kozhuuna),Tax,,,,USD,81654,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS,Regional government (IFNS #1 Tuva Republic Kyzyl city - administraziya Tandinskogo kozhuuna I administraziya Kyzylskogo Kozhuuna),Fees,,,,USD,17861,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS,Local government (Mestnaya administraziya Tandinskogo kozhuuna I administraziya Kyzylskogo Kozhuuna),Fees,,,,USD,71442,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS,Local government (Department Minprirody po Lesnym otnosheniyam Republic Saha (Yakutiaya)),Fees,,,,USD,663,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS,Local government (IFNS Roissii po Neryungrinskomu rayonu Republic Saha (Yakutiya)),Fees,,,,USD,4666,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS,Federal government (MRI FNS #2 po krupneyshim nalogoplatelschikam kemerovskoy oblasti),Tax,,,,USD,4860485,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS,Federal government (MRI FNS #2 po krupneyshim nalogoplatelschikam kemerovskoy oblasti),Fees,,,,USD,6301,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
