CountryCode,Government,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
ARG,AFIP DIRECCIÓN GENERAL IMPOSITIVA,Tax,KBOE,0,Not assigned,USD,1114712,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CAN,ALBERTA ENERGY REGULATOR,Fees,KBOE,0,Not assigned,USD,6943108,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CAN,ALBERTA PETROLEUM MARKETING COMMISSION,Royalties,KBOE,0,Not assigned,USD,-657433,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CAN,ALBERTA PETROLEUM MARKETING COMMISSION,Royalties,KBOE,4,Government selling price,USD,136536,ROYAL DUTCH SHELL PLC,04366849,Payment in Kind for 4 KBOE valued at government selling price,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
AUS,AUSTRALIAN TAXATION OFFICE,Tax,KBOE,0,Not assigned,USD,757694007,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
ARG,BANCO PROVINCIA DEL NEUQUEN SA,Royalties,KBOE,0,Not assigned,USD,4239029,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
ITA,BASILICATA REGION (VDA),Royalties,KBOE,0,Not assigned,USD,62089905,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
IDN,BPN 019 DITJEN MIGAS VALAS,Bonuses,KBOE,0,Not assigned,USD,1000000,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
BRN,BRUNEI NATIONAL PETROLEUM COMPANY,Fees,KBOE,0,Not assigned,USD,300277,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
PHL,BUREAU OF INTERNAL REVENUE,Tax,KBOE,0,Not assigned,USD,78622555,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
