CountryCode,Government,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
COD,"Republic of Congo, Ministere des Hydrocarbures",ProductionEntitlements,BOE,225784,Tullow's 2015 average realised oil price,USD,15127543,Tullow Oil PLC,03919249,USD,Extractives Report,2015-12-31,1,,28 Nov 2016
GNQ,"Republic of Equatorial Guinea, Ministry of Mines, Industry and Energy ",ProductionEntitlements,BOE,149352,Tullow's 2015 average realised oil price,USD,10006583,Tullow Oil PLC,03919249,USD,Extractives Report,2015-12-31,1,,28 Nov 2016
GNQ,"Republic of Equatorial Guinea, Ministry of Mines, Industry and Energy ",ProductionEntitlements,BOE,346048,Tullow's 2015 average realised oil price,USD,23185210,Tullow Oil PLC,03919249,USD,Extractives Report,2015-12-31,1,,28 Nov 2016
GHA,Ghana National Petroleum Corporation,ProductionEntitlements,BOE,663674,Tullow's 2015 average realised oil price,USD,44466150,Tullow Oil PLC,03919249,USD,Extractives Report,2015-12-31,1,,28 Nov 2016
MRT,MINISTRY OF ENERGY AND PETROLEUM ,ProductionEntitlements,BOE,46901,Tullow's 2015 average realised oil price,USD,3142335,Tullow Oil PLC,03919249,USD,Extractives Report,2015-12-31,1,,28 Nov 2016
CIV,"The Republic of Cote d’Ivoire, Ministry of Mines and Petroleum Resources",ProductionEntitlements,,0,Not assigned,USD,273751,Tullow Oil PLC,03919249,USD,Extractives Report,2015-12-31,1,,28 Nov 2016
GNQ,"Republica de Guinea Ecuatorial, Ministeria de Hacienda y Presupuestas",Tax,,0,Not assigned,USD,37380751,Tullow Oil PLC,03919249,USD,Extractives Report,2015-12-31,1,,28 Nov 2016
MDG,Ministry of Finances,Tax,,0,Not assigned,USD,105,Tullow Oil PLC,03919249,USD,Extractives Report,2015-12-31,1,,28 Nov 2016
MOZ,Ministério das Finanças,Tax,,0,Not assigned,USD,830,Tullow Oil PLC,03919249,USD,Extractives Report,2015-12-31,1,,28 Nov 2016
ZAF,South African Revenue Services,Tax,,0,Not assigned,USD,505034,Tullow Oil PLC,03919249,USD,Extractives Report,2015-12-31,1,,28 Nov 2016
