Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Commonwealth of Australia - Federal,AUS,10157082,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
New South Wales - State,AUS,12630585,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Queensland - State,AUS,213553171,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Goias - Municipal,BRA,145887,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Goias - State,BRA,2277165,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Minas Gerais - State,BRA,3541269,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
National Department of Mineral Production - Federal,BRA,4837170,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Other - Other,BRA,242454,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Secretaria da Receita Federal do Brasil - Federal,BRA,105923138,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Municipality of Conceição do Mato Dentro,BRA,12376651,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Municipality of Sabinopólis,BRA,482346,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Municipality of Dom Joaquim,BRA,1401898,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Municipality of Alvorada de Minas,BRA,496084,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Municipality of Serro,BRA,2075694,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
São Felix do Xingu,BRA,4200453,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
