Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Crown Estate,GBR,504173,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Department of Energy & Climate Change,GBR,4281482,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
HMRC,GBR,-10948540,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Apeldoorn Tax authority,NLD,-6238405,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Oljedirektoratet,NOR,5525758,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Skatteetaten,NOR,128185191,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Alberta Department of Energy,CAN,9122419,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Alberta Energy Regulator,CAN,2939142,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Alberta Petroleum Marketing Commission,CAN,2109647,GBP,Centrica Plc,03033654,2015-12-31,1,Payments in kind for 80956 boe at market price,Extractives Report,,17 Nov 2016
BC Ministry of Finance,CAN,2462646,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Canada Revenue Agency,CAN,7118149,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Department of Energy/Environment and Parks,CAN,1010143,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Government of Alberta,CAN,838687,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
"Minister of Finance, Ministry of Energy and Mines",CAN,856714,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
The Receiver General for Canada,CAN,868822,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Minister Of Finance Mineral Oil & Gas Revenue Branch,CAN,190167,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Ministry of Finance Province of Alberta,CAN,5086091,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Municipal Government - Md Bighorn,CAN,551954,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Municipal Government - Rocky View,CAN,264728,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Municipal Government - Camrose,CAN,236384,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Municipal Government - Yellowhead,CAN,1123044,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Municipal Government - Clearwater,CAN,1325628,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Municipal Government - County Of Stettler,CAN,315943,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Municipal Government - Wetaskiwin,CAN,148679,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Municipal Government - Starland County,CAN,303453,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Municipal Government - BC Northern Rockies,CAN,244315,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Municipal Government - Cypress County,CAN,2079629,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Municipal Government - Ponoka County,CAN,276447,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Municipal Government - Saddle Hills,CAN,241464,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Municipal Government - Barrhead,CAN,108706,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Municipal Government - Tumbler Ridge,CAN,221571,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Ministry of Energy and Energy Affairs,TTO,3131245,GBP,Centrica Plc,03033654,2015-12-31,1,,Extractives Report,,17 Nov 2016
Ministry of Finance and the Economy,TTO,3127764,GBP,Centrica Plc,03033654,2015-12-31,1,Settled on behalf of Centrica by Ministry of Energy and Energy Affairs to the Ministry of Finance under terms of Production Sharing Contract,Extractives Report,,17 Nov 2016
