Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
AFIP DIRECCIÓN GENERAL IMPOSITIVA,ARG,1114712,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
AGENCIA NACIONAL DO PETROLEO GAS NATURAL E BIOCOMBUSTIVEIS,BRA,2669289,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
ALBERTA ENERGY REGULATOR,CAN,6943108,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
AUSTRALIAN TAXATION OFFICE,AUS,757694007,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
BANCO PROVINCIA DEL NEUQUEN SA,ARG,4239029,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
BASILICATA REGION (VDA),ITA,62089905,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
BPN 019 DITJEN MIGAS VALAS,IDN,1000000,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
BRUNEI NATIONAL PETROLEUM COMPANY,BRN,300277,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
BUREAU OF INTERNAL REVENUE,PHL,78622555,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
CALVELLO MUNICIPALITY,ITA,1753127,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
CHINA NATIONAL OFFSHORE OIL CORPORATION,CHN,250000,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
CHINA NATIONAL PETROLEUM CORPORATION,CHN,447955875,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1," Payment in Kind for 11,949 KBOE valued at government selling price ",Extractive Industry Reporting,,18 Apr 2016
CHINA NATIONAL PETROLEUM CORPORATION,CHN,2428014,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1, Payment in Kind for 50 KBOE valued at market price ,Extractive Industry Reporting,,18 Apr 2016
CLEARWATER COUNTY,CAN,422530,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
COMMISSION FOR ENERGY REGULATION,IRL,3399097,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
COMMISSIONER OF THE GENERAL LAND,USA,466563,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
COMMONWEALTH OF PENNSYLVANIA,USA,11706305,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
COMMUNE DE GAMBA.,GAB,16791230,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
DEPARTMENT OF COMMUNICATIONS,IRL,914006,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
DEPARTMENT OF ENERGY,PHL,315828963,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
