Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
"Republic of Congo, Ministere des Hydrocarbures",COD,15127543,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
"Republic of Equatorial Guinea, Ministry of Mines, Industry and Energy ",GNQ,33191793,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Ghana National Petroleum Corporation,GHA,44466150,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
MINISTRY OF ENERGY AND PETROLEUM ,MRT,3142335,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Belastingdienst,NLD,-5495992,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Department of Energy & Climate Change,GBR,1865342,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Ethiopia - Payment made to 3rd party,ETH,196729,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
"FEDERAL DEMOCRATIC REPUBLIC OF ETHIOPIA, MINISTRY OF MINES, PETROLEUM & NATURAL GAS",ETH,440680,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Gabonese Public Treasury - Ministry of Finance,GAB,61138763,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Ghana Health Service and Ghana Education Service,GHA,4342972,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Ghana Revenue Authority,GHA,60472,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Her Majesties Revenue and Customs,GBR,7080173,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Kenya Revenue Authority,KEN,8577,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Mauritanian Finance Ministry & Direction of Environmental Commission,MRT,327999,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Minestere des mines et de la geologie,GIN,75087,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Ministerial Deposit Account,NAM,126660,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Ministério das Finanças,MOZ,830,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Ministry of Energy,KEN,485896,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Ministry of Energy and Minerals Development,UGA,11453,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Ministry of Finances,MDG,105,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Ministry of petroleum & natural resources,PAK,23850,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Norwegian Petroleum Directorate,NOR,3282920,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Norwegian Tax Administration.,NOR,-144867246,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
OFFICE GUINEEN DE RECHERCHE ET DE PROMOTION PETROLIERE,GIN,59572,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
OMNIS,MDG,600000,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
"Republica de Guinea Ecuatorial, Ministeria de Hacienda y Presupuestas",GNQ,37380751,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Revenue Commissioners,IRL,-2918600,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
South African Revenue Services,ZAF,505034,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Suriname - Payment made to 3rd party,SUR,515378,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
"The Republic of Cote d’Ivoire, Ministry of Mines and Petroleum Resources",CIV,273751,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Uganda Revenue Authority,UGA,36058521,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Petroleum Corporation of Jamaica,JAM,128261,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
