ProjectCode,ProjectName,CountryCodeList,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
,Antofagasta Minerals S.A.,,Tax,,0,,USD,-20051000,Antofagasta plc,01627889,,Extractive Industry Reporting,2015-12-31,1,,25 Nov 2016
,Antucoya,,Tax,,0,,USD,5000,Antofagasta plc,01627889,,Extractive Industry Reporting,2015-12-31,1,,25 Nov 2016
,Antucoya,,Fees,,0,,USD,35000,Antofagasta plc,01627889,,Extractive Industry Reporting,2015-12-31,1,,25 Nov 2016
,CCM Leonor,,Tax,,0,,USD,596000,Antofagasta plc,01627889,,Extractive Industry Reporting,2015-12-31,1,,25 Nov 2016
,Centinela,,Tax,,0,,USD,61994000,Antofagasta plc,01627889,,Extractive Industry Reporting,2015-12-31,1,,25 Nov 2016
,Centinela,,Fees,,0,,USD,189000,Antofagasta plc,01627889,,Extractive Industry Reporting,2015-12-31,1,,25 Nov 2016
,Encuentro,,Tax,,0,,USD,65000,Antofagasta plc,01627889,,Extractive Industry Reporting,2015-12-31,1,,25 Nov 2016
,Encuentro,,Fees,,0,,USD,629000,Antofagasta plc,01627889,,Extractive Industry Reporting,2015-12-31,1,,25 Nov 2016
,Exploration activities (within Antofagasta Minerals S.A.),,Fees,,0,,USD,3996000,Antofagasta plc,01627889,,Extractive Industry Reporting,2015-12-31,1,,25 Nov 2016
,Inversiones Los Pelambres Ltda.,,Tax,,0,,USD,6499000,Antofagasta plc,01627889,,Extractive Industry Reporting,2015-12-31,1,,25 Nov 2016
,Los Pelambres,,Tax,,0,,USD,226454000,Antofagasta plc,01627889,,Extractive Industry Reporting,2015-12-31,1,,25 Nov 2016
,Los Pelambres,,Fees,,0,,USD,964000,Antofagasta plc,01627889,,Extractive Industry Reporting,2015-12-31,1,,25 Nov 2016
,Michilla,,Tax,,0,,USD,-4223000,Antofagasta plc,01627889,,Extractive Industry Reporting,2015-12-31,1,,25 Nov 2016
,Michilla,,Fees,,0,,USD,736000,Antofagasta plc,01627889,,Extractive Industry Reporting,2015-12-31,1,,25 Nov 2016
,Twin Metals,,Fees,,0,,USD,263000,Antofagasta plc,01627889,,Extractive Industry Reporting,2015-12-31,1,,25 Nov 2016
