ProjectCode,ProjectName,CountryCodeList,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
GBR001,Alba Field,,Tax,,0,,GBP,11066119,Endeavour Energy UK Limited,05030838,,Extractives Report,2015-12-31,1,,30 Nov 2016
GBR002,P339,,Fees,,0,,GBP,260823,Endeavour Energy UK Limited,05030838,,Extractives Report,2015-12-31,1,,30 Nov 2016
GBR003,P2034,,Fees,,0,,GBP,5189,Endeavour Energy UK Limited,05030838,,Extractives Report,2015-12-31,1,,30 Nov 2016
GBR004,P1991,,Fees,,0,,GBP,14264,Endeavour Energy UK Limited,05030838,,Extractives Report,2015-12-31,1,,30 Nov 2016
GBR005,P1990,,Fees,,0,,GBP,50879,Endeavour Energy UK Limited,05030838,,Extractives Report,2015-12-31,1,,30 Nov 2016
GBR006,P2065,,Fees,,0,,GBP,20534,Endeavour Energy UK Limited,05030838,,Extractives Report,2015-12-31,1,,30 Nov 2016
GBR007,P226,,Fees,,0,,GBP,86038,Endeavour Energy UK Limited,05030838,,Extractives Report,2015-12-31,1,,30 Nov 2016
GBR008,P1948,,Fees,,0,,GBP,112229,Endeavour Energy UK Limited,05030838,,Extractives Report,2015-12-31,1,,30 Nov 2016
GBR009,P592,,Fees,,0,,GBP,162423,Endeavour Energy UK Limited,05030838,,Extractives Report,2015-12-31,1,,30 Nov 2016
GBR010,P1615,,Fees,,0,,GBP,68853,Endeavour Energy UK Limited,05030838,,Extractives Report,2015-12-31,1,,30 Nov 2016
