ProjectCode,ProjectName,CountryCodeList,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
RUS001,EVRAZ KGOK,RUS,Tax,,,,USD,102076520,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS001,EVRAZ KGOK,RUS,Fees,,,,USD,1015351,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS002,Evrazruda,RUS,Tax,,,,USD,1149187,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS002,Evrazruda,RUS,Fees,,,,USD,1952047,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS003,Mezhegeyugol Coal Company,RUS,Tax,,,,USD,136090,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS003,Mezhegeyugol Coal Company,RUS,Fees,,,,USD,105536,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS004,Mining Metallurgical Company «Timir»,RUS,Fees,,,,USD,5329,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS005,MUK-96,RUS,Tax,,,,USD,131530,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS005,MUK-96,RUS,Fees,,,,USD,109640,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
RUS006,Raspadskaya,RUS,Tax,,,,USD,1913217,EVRAZ PLC,07784342,,REPORT ON PAYMENTS TO GOVERNMENTS,2015-12-31,2,,17 Aug 2016
