ProjectCode,ProjectName,CountryCodeList,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
Catamarca Province Project - Minera Alumbrera,Catamarca Province Project - Minera Alumbrera,ARG,Tax,,,,USD,1982000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Catamarca Province Project - Minera Alumbrera,Catamarca Province Project - Minera Alumbrera,ARG,Royalties,,,,USD,16586000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Jujuy Province Project - Minera Aguilar / AR Zinc,Jujuy Province Project - Minera Aguilar / AR Zinc,ARG,Tax,,,,USD,5030000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Jujuy Province Project - Minera Aguilar / AR Zinc,Jujuy Province Project - Minera Aguilar / AR Zinc,ARG,Royalties,,,,USD,1075000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
San Juan Project - Minera Pachon ,San Juan Project - Minera Pachon ,ARG,Tax,,,,USD,147000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
San Juan Project - Minera Pachon ,San Juan Project - Minera Pachon ,ARG,Fees,,,,USD,147000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
New South Wales Project - Cobar Copper,New South Wales Project - Cobar Copper,AUS,Tax,,,,USD,-225913,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
New South Wales Project - Cobar Copper,New South Wales Project - Cobar Copper,AUS,Royalties,,,,USD,6026034,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
New South Wales Project - Cobar Copper,New South Wales Project - Cobar Copper,AUS,Fees,,,,USD,150123,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
New South Wales Project - Coking Coal ,New South Wales Project - Coking Coal ,AUS,Royalties,,,,USD,20093824,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
New South Wales Project - Coking Coal ,New South Wales Project - Coking Coal ,AUS,Fees,,,,USD,185103,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
New South Wales Project - Thermal Coal ,New South Wales Project - Thermal Coal ,AUS,Tax,,,,USD,69471738,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
New South Wales Project - Thermal Coal ,New South Wales Project - Thermal Coal ,AUS,Royalties,,,,USD,207725815,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
New South Wales Project - Thermal Coal ,New South Wales Project - Thermal Coal ,AUS,Fees,,,,USD,3629175,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
New South Wales Project - Thermal Coal ,New South Wales Project - Thermal Coal ,AUS,Infrastructure,,,,USD,31078273,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Northern Territory Project - McArthur River Zinc ,Northern Territory Project - McArthur River Zinc ,AUS,Tax,,,,USD,-193848,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Northern Territory Project - McArthur River Zinc ,Northern Territory Project - McArthur River Zinc ,AUS,Fees,,,,USD,811828,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Queensland Project - Coking Coal ,Queensland Project - Coking Coal ,AUS,Tax,,,,USD,-128260,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Queensland Project - Coking Coal ,Queensland Project - Coking Coal ,AUS,Royalties,,,,USD,25592243,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Queensland Project - Coking Coal ,Queensland Project - Coking Coal ,AUS,Fees,,,,USD,2173861,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Queensland Project - Ernest Henry Mine Copper ,Queensland Project - Ernest Henry Mine Copper ,AUS,Tax,,,,USD,-1235960,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Queensland Project - Ernest Henry Mine Copper ,Queensland Project - Ernest Henry Mine Copper ,AUS,Royalties,,,,USD,16606026,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Queensland Project - Ernest Henry Mine Copper ,Queensland Project - Ernest Henry Mine Copper ,AUS,Fees,,,,USD,518870,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Queensland Project - Mount Isa Mines Copper ,Queensland Project - Mount Isa Mines Copper ,AUS,Tax,,,,USD,135548,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Queensland Project - Mount Isa Mines Copper ,Queensland Project - Mount Isa Mines Copper ,AUS,Royalties,,,,USD,28974371,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Queensland Project - Mount Isa Mines Copper ,Queensland Project - Mount Isa Mines Copper ,AUS,Fees,,,,USD,1853940,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Queensland Project - Mount Isa Mines Zinc,Queensland Project - Mount Isa Mines Zinc,AUS,Tax,,,,USD,-2147626,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Queensland Project - Mount Isa Mines Zinc,Queensland Project - Mount Isa Mines Zinc,AUS,Royalties,,,,USD,41630573,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Queensland Project - Mount Isa Mines Zinc,Queensland Project - Mount Isa Mines Zinc,AUS,Fees,,,,USD,1854669,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Queensland Project - Thermal Coal,Queensland Project - Thermal Coal,AUS,Tax,,,,USD,-247046,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Queensland Project - Thermal Coal,Queensland Project - Thermal Coal,AUS,Royalties,,,,USD,30461750,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Queensland Project - Thermal Coal,Queensland Project - Thermal Coal,AUS,Fees,,,,USD,2751760,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Western Australian Project - Murrin Murrin Nickel ,Western Australian Project - Murrin Murrin Nickel ,AUS,Tax,,,,USD,766645,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Western Australian Project - Murrin Murrin Nickel ,Western Australian Project - Murrin Murrin Nickel ,AUS,Royalties,,,,USD,12547618,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Western Australian Project - Murrin Murrin Nickel ,Western Australian Project - Murrin Murrin Nickel ,AUS,Fees,,,,USD,2261311,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Oruro Project - Minera Illapa,Oruro Project - Minera Illapa,BOL,Royalties,,,,USD,5076000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Oruro Project - Sinchi Wayra,Oruro Project - Sinchi Wayra,BOL,Royalties,,,,USD,1488000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Potosi Project -  Minera Illapa,Potosi Project -  Minera Illapa,BOL,Royalties,,,,USD,3786000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Potosi Project - Sinchi Wayra,Potosi Project - Sinchi Wayra,BOL,Royalties,,,,USD,16966000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Koudougou Project - Perkoa Mine,Koudougou Project - Perkoa Mine,BFA,Royalties,,,,USD,1696000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
British Columbia Project - Coking Coal,British Columbia Project - Coking Coal,CAN,Fees,,,,USD,819000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Nunavut Project - Hackett,Nunavut Project - Hackett,CAN,Fees,,,,USD,44000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Ontario Project - Corporate,Ontario Project - Corporate,CAN,Tax,,,,USD,22980000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Ontario Project - Kidd,Ontario Project - Kidd,CAN,Tax,,,,USD,1275000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Ontario Project - Kidd,Ontario Project - Kidd,CAN,Fees,,,,USD,7000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Ontario Project - Sudbury ,Ontario Project - Sudbury ,CAN,Tax,,,,USD,5656000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Ontario Project - Sudbury ,Ontario Project - Sudbury ,CAN,Fees,,,,USD,98000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Quebec Project - Matagami,Quebec Project - Matagami,CAN,Tax,,,,USD,1238000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Quebec Project - Matagami,Quebec Project - Matagami,CAN,Fees,,,,USD,35000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Quebec Project - Raglan,Quebec Project - Raglan,CAN,Tax,,,,USD,13620000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Quebec Project - Raglan,Quebec Project - Raglan,CAN,Fees,,,,USD,98000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Quebec Project - various exploration projects,Quebec Project - various exploration projects,CAN,Fees,,,,USD,108000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Badila Field Project,Badila Field Project,TCD,ProductionEntitlements,,,,USD,45857000,Glencore plc,,Comment refers to payment type 'production entitlement' only: Includes production lifting of 1.16MM barrels valued at market price under production sharing agreement,Extractives Report,2015-12-31,1,,29 Aug 2016
Badila Field Project,Badila Field Project,TCD,Fees,,,,USD,823000,Glencore plc,,Comment refers to payment type 'production entitlement' only: Includes production lifting of 1.16MM barrels valued at market price under production sharing agreement,Extractives Report,2015-12-31,1,,29 Aug 2016
DOH Project ,DOH Project ,TCD,Fees,,,,USD,250000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Doseo / Borogop Project ,Doseo / Borogop Project ,TCD,Fees,,,,USD,708000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Kibea EXA ,Kibea EXA ,TCD,Bonuses,,,,USD,2000000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Krim EXA ,Krim EXA ,TCD,Bonuses,,,,USD,2000000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Mangara Field Project ,Mangara Field Project ,TCD,ProductionEntitlements,,,,USD,27419000,Glencore plc,,Comment refers to payment type 'production entitlement' only: Includes production lifting of 0.69MM barrels valued at market price under production sharing agreement,Extractives Report,2015-12-31,1,,29 Aug 2016
