ProjectCode,ProjectName,CountryCodeList,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
,Scott,GBR,Tax,GBP,0,N/A,GBP,245027,Nexen Petroleum UK Limited,01051137,PRT payment,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,OGA Levy,GBR,Fees,GBP,0,N/A,GBP,270906,Nexen Petroleum UK Limited,01051137,OGA Levy,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,E444,GBR,Fees,GBP,0,N/A,GBP,2000,Nexen Petroleum UK Limited,01051137,Licence fee,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,P1192,GBR,Fees,GBP,0,N/A,GBP,349800,Nexen Petroleum UK Limited,01051137,Licence fee,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,P1298,GBR,Fees,GBP,0,N/A,GBP,140160,Nexen Petroleum UK Limited,01051137,Licence fee,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,P1420,GBR,Fees,GBP,0,N/A,GBP,375570,Nexen Petroleum UK Limited,01051137,Licence fee,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,P1560,GBR,Fees,GBP,0,N/A,GBP,53760,Nexen Petroleum UK Limited,01051137,Licence fee,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,P1580,GBR,Fees,GBP,0,N/A,GBP,19320,Nexen Petroleum UK Limited,01051137,Licence fee,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,P1801,GBR,Fees,GBP,0,N/A,GBP,40590,Nexen Petroleum UK Limited,01051137,Licence fee,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,P1829,GBR,Fees,GBP,0,N/A,GBP,167310,Nexen Petroleum UK Limited,01051137,Licence fee,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,P185,GBR,Fees,GBP,0,N/A,GBP,76300,Nexen Petroleum UK Limited,01051137,Licence fee,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,P1893,GBR,Fees,GBP,0,N/A,GBP,60510,Nexen Petroleum UK Limited,01051137,Licence fee,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,P1988,GBR,Fees,GBP,0,N/A,GBP,13980,Nexen Petroleum UK Limited,01051137,Licence fee,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,P2029,GBR,Fees,GBP,0,N/A,GBP,14625,Nexen Petroleum UK Limited,01051137,Licence fee,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,P2046,GBR,Fees,GBP,0,N/A,GBP,4950,Nexen Petroleum UK Limited,01051137,Licence fee,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,P2050,GBR,Fees,GBP,0,N/A,GBP,208440,Nexen Petroleum UK Limited,01051137,Licence fee,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,P2062,GBR,Fees,GBP,0,N/A,GBP,67830,Nexen Petroleum UK Limited,01051137,Licence fee,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,P2067,GBR,Fees,GBP,0,N/A,GBP,34365,Nexen Petroleum UK Limited,01051137,Licence fee,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,P2155,GBR,Fees,GBP,0,N/A,GBP,60360,Nexen Petroleum UK Limited,01051137,Licence fee,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,P2171,GBR,Fees,GBP,0,N/A,GBP,29880,Nexen Petroleum UK Limited,01051137,Licence fee,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,P2174,GBR,Fees,GBP,0,N/A,GBP,11715,Nexen Petroleum UK Limited,01051137,Licence fee,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,P218,GBR,Fees,GBP,0,N/A,GBP,23240,Nexen Petroleum UK Limited,01051137,Licence fee,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,P2183,GBR,Fees,GBP,0,N/A,GBP,2850,Nexen Petroleum UK Limited,01051137,Licence fee,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,P2193,GBR,Fees,GBP,0,N/A,GBP,46230,Nexen Petroleum UK Limited,01051137,Licence fee,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,P2208,GBR,Fees,GBP,0,N/A,GBP,105195,Nexen Petroleum UK Limited,01051137,Licence fee,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
,P2215,GBR,Fees,GBP,0,N/A,GBP,45435,Nexen Petroleum UK Limited,01051137,Licence fee,Extractives Report,2015-12-31,2,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
