ProjectCode,ProjectName,CountryCodeList,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
Hoton,Hoton,GBR,Fees,,0,,GBP,10710,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Amethyst,Amethyst,GBR,Fees,,0,,GBP,275168,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Pickerill,Pickerill,GBR,Fees,,0,,GBP,1590011,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Gawain,Gawain,GBR,Fees,,0,,GBP,5775,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Whittle & Wollaston,Whittle & Wollaston,GBR,Fees,,0,,GBP,284957,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Tyne,Tyne,GBR,Fees,,0,,GBP,509350,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Waveney,Waveney,GBR,Fees,,0,,GBP,136850,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
East Davy,East Davy,GBR,Fees,,0,,GBP,75000,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Trent,Trent,GBR,Fees,,0,,GBP,392500,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Newsham,Newsham,GBR,Fees,,0,,GBP,20126,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Minerva & Apollo,Minerva & Apollo,GBR,Fees,,0,,GBP,19955,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Leman,Leman,GBR,Fees,,0,,GBP,65611,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Galahad,Galahad,GBR,Fees,,0,,GBP,37650,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Wytch Farm,Wytch Farm,GBR,Fees,,0,,GBP,526842,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Davy,Davy,GBR,Fees,,0,,GBP,114257,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Malory,Malory,GBR,Fees,,0,,GBP,68850,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Durango,Durango,GBR,Fees,,0,,GBP,154500,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Block 47,Block 47,GBR,Fees,,0,,GBP,401753,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
"Blocks 42,78 And 48","Blocks 42,78 And 48",GBR,Fees,,0,,GBP,118987,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Blocks 49 And 53,Blocks 49 And 53,GBR,Fees,,0,,GBP,15022,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Thames,Thames,GBR,Fees,,0,,GBP,441751,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Eagles pipeline,Eagles pipeline,GBR,Fees,,0,,GBP,132012,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Furzey Island,Furzey Island,GBR,Fees,,0,,GBP,21386,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Bacton,Bacton,GBR,Fees,,0,,GBP,153642,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Cleeton,Cleeton,GBR,Fees,,0,,GBP,2420,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Dimlington,Dimlington,GBR,Fees,,0,,GBP,24536,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Inde,Inde,GBR,Fees,,0,,GBP,3480,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Ravenspurn North,Ravenspurn North,GBR,Fees,,0,,GBP,6370,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
West Sole,West Sole,GBR,Fees,,0,,GBP,4350,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Corporate,Corporate,GBR,Fees,,0,,GBP,796515,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
Corporate,Corporate,GBR,Tax,,0,,GBP,64291721,Perenco UK Limited,04653066,,Extractives Report,2015-12-31,1,,17 Oct 2016
