ProjectCode,ProjectName,CountryCodeList,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
P019,P019,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P019,P019,,Fees,,0,,GBP,16182,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P020,P020,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P020,P020,,Fees,,0,,GBP,12934,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P073,P073,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P073,P073,,Fees,,0,,GBP,25462,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P079,P079,,Fees,,0,,GBP,7714,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P101,P101,,Fees,,0,,GBP,13370,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P1031,P1031,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P1031,P1031,,Fees,,0,,GBP,23688,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P111,P111,,Fees,,0,,GBP,10547,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P116,P116,,Fees,,0,,GBP,11305,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P1621,P1621,,Fees,,0,,GBP,2759,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P1621,P1621,,Fees,,0,,GBP,47250,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P1622,P1622,,Fees,,0,,GBP,2759,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P1622,P1622,,Fees,,0,,GBP,224366,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P1806,P1806,,Fees,,0,,GBP,2759,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P1806,P1806,,Fees,,0,,GBP,5610,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P185,P185,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P185,P185,,Fees,,0,,GBP,27317,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P187,P187,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P187,P187,,Fees,,0,,GBP,19786,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P1880,P1880,,Fees,,0,,GBP,2759,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P1880,P1880,,Fees,,0,,GBP,67020,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P1939,P1939,,Fees,,0,,GBP,2759,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P1939,P1939,,Fees,,0,,GBP,1140,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P2049,P2049,,Fees,,0,,GBP,2759,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P2049,P2049,,Fees,,0,,GBP,9735,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P2053,P2053,,Fees,,0,,GBP,2759,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P2053,P2053,,Fees,,0,,GBP,86025,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P219,P219,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P219,P219,,Fees,,0,,GBP,35504,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P220,P220,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P237,P237,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P237,P237,,Fees,,0,,GBP,17430,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P240,P240,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P240,P240,,Fees,,0,,GBP,8266,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P241,P241,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P241,P241,,Fees,,0,,GBP,28871,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P249,P249,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P249,P249,,Fees,,0,,GBP,21812,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P250,P250,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P250,P250,,Fees,,0,,GBP,27930,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P256,P256,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P256,P256,,Fees,,0,,GBP,5005,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P263,P263,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P263,P263,,Fees,,0,,GBP,12204,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P266,P266,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P266,P266,,Fees,,0,,GBP,400530,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P291,P291,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P291,P291,,Fees,,0,,GBP,62669,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P292,P292,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P292,P292,,Fees,,0,,GBP,15109,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P294,P294,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P294,P294,,Fees,,0,,GBP,5778,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P295,P295,,Fees,,0,,GBP,1365,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P297,P297,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P297,P297,,Fees,,0,,GBP,157245,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P307,P307,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P307,P307,,Fees,,0,,GBP,177926,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P324,P324,,Fees,,0,,GBP,52640,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P344,P344,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P344,P344,,Fees,,0,,GBP,360018,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P585,P585,,Fees,,0,,GBP,2759,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P593,P593,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P593,P593,,Fees,,0,,GBP,54990,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P729,P729,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P729,P729,,Fees,,0,,GBP,147600,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P810,P810,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P810,P810,,Fees,,0,,GBP,257850,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P973,P973,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P973,P973,,Fees,,0,,GBP,77550,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P982,P982,,Fees,,0,,GBP,30423,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P982,P982,,Fees,,0,,GBP,19458,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P983,P983,,Fees,,0,,GBP,2759,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
P983,P983,,Fees,,0,,GBP,84271,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
Claymore,Claymore,,Tax,,0,,GBP,-7507661,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
Piper,Piper,,Tax,,0,,GBP,-8222579,Repsol Sinopec Resources UK Limited,00825828,,Extractives Report,2015-12-31,1,,28 Nov 2016
Claymore,Claymore,,Tax,,0,,GBP,-4908785,Repsol Sinopec Resources UK Limited,00825828,Respsol Sinopec North Sea Limited,Extractives Report,2015-12-31,1,,28 Nov 2016
Piper,Piper,,Tax,,0,,GBP,-3373453,Repsol Sinopec Resources UK Limited,00825828,Respsol Sinopec North Sea Limited,Extractives Report,2015-12-31,1,,28 Nov 2016
Wytch Farm,Wytch Farm,,Tax,,0,,GBP,1725927,Repsol Sinopec Resources UK Limited,00825828,Respsol Sinopec North Sea Limited,Extractives Report,2015-12-31,1,,28 Nov 2016
Claymore,Claymore,,Tax,,0,,GBP,-7393614,Repsol Sinopec Resources UK Limited,00825828,Repsol Sinopec Oil Trading Limited,Extractives Report,2015-12-31,1,,28 Nov 2016
Claymore,Claymore,,Tax,,0,,GBP,-7606208,Repsol Sinopec Resources UK Limited,00825828,Transworld Petroleum UK Limited,Extractives Report,2015-12-31,1,,28 Nov 2016
Piper,Piper,,Tax,,0,,GBP,-6790939,Repsol Sinopec Resources UK Limited,00825828,Transworld Petroleum UK Limited,Extractives Report,2015-12-31,1,,28 Nov 2016
Claymore,Claymore,,Tax,,0,,GBP,-9016591,Repsol Sinopec Resources UK Limited,00825828,Repsol Sinopec Alpha Limited,Extractives Report,2015-12-31,1,,28 Nov 2016
Piper,Piper,,Tax,,0,,GBP,-6449185,Repsol Sinopec Resources UK Limited,00825828,Repsol Sinopec Alpha Limited,Extractives Report,2015-12-31,1,,28 Nov 2016
