ProjectCode,ProjectName,CountryCodeList,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
AUS01,PILBARA,AUS,Tax,,0,,USD,1980216391,Rio Tinto PLC,00719885,Project amount includes payments / refunds between entities within tax groups where final payments to government are paid by the head / representative entity on behalf of the tax group.,Extractive Industry Reporting,2015-12-31,1,,29 Jun 2016
AUS01,PILBARA,AUS,Royalties,,0,,USD,1061871911,Rio Tinto PLC,00719885,,Extractive Industry Reporting,2015-12-31,1,,29 Jun 2016
AUS01,PILBARA,AUS,Fees,,0,,USD,1140210,Rio Tinto PLC,00719885,,Extractive Industry Reporting,2015-12-31,1,,29 Jun 2016
CAN01,IRON ORE COMPANY OF CANADA,CAN,Tax,,0,,USD,937576,Rio Tinto PLC,00719885,,Extractive Industry Reporting,2015-12-31,1,,29 Jun 2016
GIN01,SIMANDOU,GIN,Royalties,,0,,USD,52995,Rio Tinto PLC,00719885,,Extractive Industry Reporting,2015-12-31,1,,29 Jun 2016
MNG01,OYU TOLGOI,MNG,Tax,,0,,USD,65951340,Rio Tinto PLC,00719885,,Extractive Industry Reporting,2015-12-31,1,,29 Jun 2016
MNG01,OYU TOLGOI,MNG,Royalties,,0,,USD,111117141,Rio Tinto PLC,00719885,,Extractive Industry Reporting,2015-12-31,1,,29 Jun 2016
MNG01,OYU TOLGOI,MNG,Fees,,0,,USD,8291136,Rio Tinto PLC,00719885,,Extractive Industry Reporting,2015-12-31,1,,29 Jun 2016
USA01,KENNECOTT UTAH COPPER,USA,Tax,,0,,USD,-123217506,Rio Tinto PLC,00719885,Project amount includes payments / refunds between entities within tax groups where final payments to government are paid by the head / representative entity on behalf of the tax group.,Extractive Industry Reporting,2015-12-31,1,,29 Jun 2016
USA01,KENNECOTT UTAH COPPER,USA,Royalties,,0,,USD,6024609,Rio Tinto PLC,00719885,,Extractive Industry Reporting,2015-12-31,1,,29 Jun 2016
