ProjectCode,ProjectName,CountryCodeList,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
AR15002,ACAMBUCO,ARG,Royalties,KBOE,0,Not assigned,USD,5338345,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
US15001,ALASKA EXPLORATION,USA,Fees,KBOE,0,Not assigned,USD,6882404,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
US15005,APPALACHIA,USA,Fees,KBOE,0,Not assigned,USD,13164884,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
AR15001,ARGENTINA UNCONVENTIONAL PROJECTS,ARG,Bonuses,KBOE,0,Not assigned,USD,12000000,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
AR15001,ARGENTINA UNCONVENTIONAL PROJECTS,ARG,Fees,KBOE,0,Not assigned,USD,375684,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
AR15001,ARGENTINA UNCONVENTIONAL PROJECTS,ARG,Royalties,KBOE,0,Not assigned,USD,4239029,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CA15006,ATHABASCA OIL SANDS,CAN,Fees,KBOE,0,Not assigned,USD,7173777,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CA15006,ATHABASCA OIL SANDS,CAN,Fees,KBOE,0,Not assigned,USD,3313514,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CA15006,ATHABASCA OIL SANDS,CAN,Royalties,KBOE,0,Not assigned,USD,62808847,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
AU15099,Shell Australia Pty Ltd,AUS,Tax,KBOE,0,Not assigned,USD,757694007,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
AU15007,AUSTRALIA EXPLORATION PROJECTS,AUS,Fees,KBOE,0,Not assigned,USD,208637,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
EG15001,BADR EL-DIN (BED),EGY,Bonuses,KBOE,0,Not assigned,USD,100000000,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
EG15001,BADR EL-DIN (BED),EGY,Tax,KBOE,0,Not assigned,USD,37921247,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
BR15003,BASIN EXPLORATION PROJECTS,BRA,Fees,KBOE,0,Not assigned,USD,582284,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
BR15001,BC-10,BRA,Fees,KBOE,0,Not assigned,USD,877222,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
BR15001,BC-10,BRA,Royalties,KBOE,0,Not assigned,USD,40551350,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
BR15001,BC-10,BRA,Tax,KBOE,0,Not assigned,USD,1144389,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
BR15002,BIJUPIRA & SALEMA,BRA,Fees,KBOE,0,Not assigned,USD,393972,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
BR15002,BIJUPIRA & SALEMA,BRA,Royalties,KBOE,0,Not assigned,USD,24850409,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
OM15001,BLOCK 6 CONCESSION,OMN,Tax,KBOE,0,Not assigned,USD,2089920954,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
BR15099,Shell Brasil Petroleo Ltda,BRA,Fees,KBOE,0,Not assigned,USD,1077972,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
UK15004,BRENT AND OTHER NORTHERN NORTH SEA PROJECTS,GBR,Fees,KBOE,0,Not assigned,USD,668744,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
UK15004,BRENT AND OTHER NORTHERN NORTH SEA PROJECTS,GBR,Tax,KBOE,0,Not assigned,USD,-154366735,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
BN15099,SHELL DEEPWATER BORNEO LIMITED,BRN,Tax,KBOE,0,Not assigned,USD,1983978,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
BN15001,BRUNEI OFFSHORE BLOCKS,BRN,Fees,KBOE,0,Not assigned,USD,1710416,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
BN15001,BRUNEI OFFSHORE BLOCKS,BRN,Tax,KBOE,0,Not assigned,USD,100243458,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CA15099,BLACKROCK VENTURES INC.,CAN,Tax,KBOE,0,Not assigned,USD,2811449,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CN15001,CHANGBEI,CHN,ProductionEntitlements,KBOE,11452,Government selling price,USD,429138778,ROYAL DUTCH SHELL PLC,04366849,"Payment in Kind for 11,452 KBOE valued at government selling price",Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CN15001,CHANGBEI,CHN,ProductionEntitlements,KBOE,50,Market price,USD,2402806,ROYAL DUTCH SHELL PLC,04366849,Payment in Kind for 50 KBOE valued at market price,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CN15001,CHANGBEI,CHN,Royalties,KBOE,205,Government selling price,USD,7686464,ROYAL DUTCH SHELL PLC,04366849,Payment in Kind for 205 KBOE valued at government selling price,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
IE15001,CORRIB PROJECT,IRL,Fees,KBOE,0,Not assigned,USD,4313103,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
