ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Antofagasta Minerals S.A.,,-20051000,USD,Antofagasta plc,01627889,2015-12-31,1,,Extractive Industry Reporting,,25 Nov 2016
Antucoya,,40000,USD,Antofagasta plc,01627889,2015-12-31,1,,Extractive Industry Reporting,,25 Nov 2016
CCM Leonor,,596000,USD,Antofagasta plc,01627889,2015-12-31,1,,Extractive Industry Reporting,,25 Nov 2016
Centinela,,62183000,USD,Antofagasta plc,01627889,2015-12-31,1,,Extractive Industry Reporting,,25 Nov 2016
Encuentro,,694000,USD,Antofagasta plc,01627889,2015-12-31,1,,Extractive Industry Reporting,,25 Nov 2016
Exploration activities (within Antofagasta Minerals S.A.),,3996000,USD,Antofagasta plc,01627889,2015-12-31,1,,Extractive Industry Reporting,,25 Nov 2016
Inversiones Los Pelambres Ltda.,,6499000,USD,Antofagasta plc,01627889,2015-12-31,1,,Extractive Industry Reporting,,25 Nov 2016
Los Pelambres,,227418000,USD,Antofagasta plc,01627889,2015-12-31,1,,Extractive Industry Reporting,,25 Nov 2016
Michilla,,-3487000,USD,Antofagasta plc,01627889,2015-12-31,1,,Extractive Industry Reporting,,25 Nov 2016
Twin Metals,,263000,USD,Antofagasta plc,01627889,2015-12-31,1,,Extractive Industry Reporting,,25 Nov 2016
