ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
2002/15 (Atammik),2002/15 (Atammik),27061,USD,Cairn Energy PLC,SC226712,2015-12-31,1,,Extractive Industry Reporting,,01 Aug 2016
2005/06 (Lady Franklin),2005/06 (Lady Franklin),50842,USD,Cairn Energy PLC,SC226712,2015-12-31,1,,Extractive Industry Reporting,,01 Aug 2016
2008/11 ( Eqqua),2008/11 ( Eqqua),63483,USD,Cairn Energy PLC,SC226712,2015-12-31,1,,Extractive Industry Reporting,,01 Aug 2016
2011/13 (Pitu),2011/13 (Pitu),63910,USD,Cairn Energy PLC,SC226712,2015-12-31,1,,Extractive Industry Reporting,,01 Aug 2016
FEL 2/04,FEL 2/04,23092,USD,Cairn Energy PLC,SC226712,2015-12-31,1,,Extractive Industry Reporting,,01 Aug 2016
FEL 1/14,FEL 1/14,45368,USD,Cairn Energy PLC,SC226712,2015-12-31,1,,Extractive Industry Reporting,,01 Aug 2016
Corporate - Republic of Ireland,Corporate - Republic of Ireland,343,USD,Cairn Energy PLC,SC226712,2015-12-31,1,,Extractive Industry Reporting,,01 Aug 2016
Area 3 (Block 1),Area 3 (Block 1),550500,USD,Cairn Energy PLC,SC226712,2015-12-31,1,,Extractive Industry Reporting,,01 Aug 2016
P2149 (Block 1),P2149 (Block 1),41039,USD,Cairn Energy PLC,SC226712,2015-12-31,1,,Extractive Industry Reporting,,01 Aug 2016
New Opportunities - Norway,New Opportunities - Norway,97707,USD,Cairn Energy PLC,SC226712,2015-12-31,1,,Extractive Industry Reporting,,01 Aug 2016
Corporate - Norway,Corporate - Norway,-51864778,USD,Cairn Energy PLC,SC226712,2015-12-31,1,,Extractive Industry Reporting,,01 Aug 2016
Foum  Draa,Foum  Draa,262452,USD,Cairn Energy PLC,SC226712,2015-12-31,1,,Extractive Industry Reporting,,01 Aug 2016
Juby Maritime,Juby Maritime,70297,USD,Cairn Energy PLC,SC226712,2015-12-31,1,,Extractive Industry Reporting,,01 Aug 2016
Sangomar-Rufisque,Sangomar-Rufisque,107055,USD,Cairn Energy PLC,SC226712,2015-12-31,1,,Extractive Industry Reporting,,01 Aug 2016
