ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Bakassi,CMR001,1501,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
South Wadi Dara,EGY001,205471,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
Dakhla 1,EGY002,65436,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
Dakhla 2,EGY003,65436,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
El Qa'a Plain,EGY004,49078,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
North Zeit Bay,EGY005,9634561,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
East Zeit,EGY006,25055045,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
South October,EGY007,5674627,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
F02a,NLD001,170785,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
P10a,NLD002,3032,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
P10b,NLD003,55480,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
P11b,NLD004,116824,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
P14a,NLD005,27565,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
F06b,NLD006,72227,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
F13b,NLD007,73933,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
Jotun,NOR001,-4010464,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
Claymore,GBR001,-519423,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
Victor,GBR002,-989886,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
P021,GBR003,28217,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
P1051,GBR004,100259,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
P1610,GBR005,117419,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
P1720,GBR006,47159,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
P1896,GBR007,41624,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
P1987,GBR008,4949,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
P215,GBR009,31403,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
P353,GBR010,164973,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
P361,GBR011,81273,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
P472,GBR012,49043,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
P570,GBR013,160023,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
P1242,GBR014,2759,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
P2180,GBR015,33182,GBP,Dana Petroleum Limited,03456891,2015-12-31,1,,Extractives Report,,29 Nov 2016
