ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
EVRAZ KGOK,RUS001,103091871,USD,EVRAZ PLC,07784342,2015-12-31,2,,REPORT ON PAYMENTS TO GOVERNMENTS,,17 Aug 2016
Evrazruda,RUS002,3101234,USD,EVRAZ PLC,07784342,2015-12-31,2,,REPORT ON PAYMENTS TO GOVERNMENTS,,17 Aug 2016
Mezhegeyugol Coal Company,RUS003,241626,USD,EVRAZ PLC,07784342,2015-12-31,2,,REPORT ON PAYMENTS TO GOVERNMENTS,,17 Aug 2016
Mining Metallurgical Company «Timir»,RUS004,5329,USD,EVRAZ PLC,07784342,2015-12-31,2,,REPORT ON PAYMENTS TO GOVERNMENTS,,17 Aug 2016
MUK-96,RUS005,241170,USD,EVRAZ PLC,07784342,2015-12-31,2,,REPORT ON PAYMENTS TO GOVERNMENTS,,17 Aug 2016
Raspadskaya,RUS006,7420159,USD,EVRAZ PLC,07784342,2015-12-31,2,,REPORT ON PAYMENTS TO GOVERNMENTS,,17 Aug 2016
Raspadskaya-Koksovaya,RUS007,584573,USD,EVRAZ PLC,07784342,2015-12-31,2,,REPORT ON PAYMENTS TO GOVERNMENTS,,17 Aug 2016
Razrez Raspadskiy,RUS008,6450759,USD,EVRAZ PLC,07784342,2015-12-31,2,,REPORT ON PAYMENTS TO GOVERNMENTS,,17 Aug 2016
Shakhta Abashevskaya,RUS009,379110,USD,EVRAZ PLC,07784342,2015-12-31,2,,REPORT ON PAYMENTS TO GOVERNMENTS,,17 Aug 2016
Shakhta Alardinskaya,RUS010,609974,USD,EVRAZ PLC,07784342,2015-12-31,2,,REPORT ON PAYMENTS TO GOVERNMENTS,,17 Aug 2016
Shakhta Esaulskaya,RUS011,8150476,USD,EVRAZ PLC,07784342,2015-12-31,2,,REPORT ON PAYMENTS TO GOVERNMENTS,,17 Aug 2016
Shakhta Kusheyakovskaya,RUS012,341749,USD,EVRAZ PLC,07784342,2015-12-31,2,,REPORT ON PAYMENTS TO GOVERNMENTS,,17 Aug 2016
Shakhta Osinnikovskaya,RUS013,1158907,USD,EVRAZ PLC,07784342,2015-12-31,2,,REPORT ON PAYMENTS TO GOVERNMENTS,,17 Aug 2016
Shakhta Uskovskaya,RUS014,9270566,USD,EVRAZ PLC,07784342,2015-12-31,2,,REPORT ON PAYMENTS TO GOVERNMENTS,,17 Aug 2016
United Coal Company Yuzhkuzbasugol,RUS015,2782841,USD,EVRAZ PLC,07784342,2015-12-31,2,,REPORT ON PAYMENTS TO GOVERNMENTS,,17 Aug 2016
Evraz Sukha Balka,UKR001,13814238,USD,EVRAZ PLC,07784342,2015-12-31,2,,REPORT ON PAYMENTS TO GOVERNMENTS,,17 Aug 2016
Evraz Vametco Alloys (PTY) Ltd,ZAF001,1113768,USD,EVRAZ PLC,07784342,2015-12-31,2,,REPORT ON PAYMENTS TO GOVERNMENTS,,17 Aug 2016
