ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Catamarca Province Project - Minera Alumbrera,Catamarca Province Project - Minera Alumbrera,18568000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Jujuy Province Project - Minera Aguilar / AR Zinc,Jujuy Province Project - Minera Aguilar / AR Zinc,6105000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
San Juan Project - Minera Pachon ,San Juan Project - Minera Pachon ,294000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
New South Wales Project - Cobar Copper,New South Wales Project - Cobar Copper,5950244,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
New South Wales Project - Coking Coal ,New South Wales Project - Coking Coal ,20278927,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
New South Wales Project - Thermal Coal ,New South Wales Project - Thermal Coal ,311905001,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Northern Territory Project - McArthur River Zinc ,Northern Territory Project - McArthur River Zinc ,617980,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Queensland Project - Coking Coal ,Queensland Project - Coking Coal ,27637844,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Queensland Project - Ernest Henry Mine Copper ,Queensland Project - Ernest Henry Mine Copper ,15888936,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Queensland Project - Mount Isa Mines Copper ,Queensland Project - Mount Isa Mines Copper ,30963859,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Queensland Project - Mount Isa Mines Zinc,Queensland Project - Mount Isa Mines Zinc,41337616,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Queensland Project - Thermal Coal,Queensland Project - Thermal Coal,32966464,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Western Australian Project - Murrin Murrin Nickel ,Western Australian Project - Murrin Murrin Nickel ,15575574,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Oruro Project - Minera Illapa,Oruro Project - Minera Illapa,5076000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Oruro Project - Sinchi Wayra,Oruro Project - Sinchi Wayra,1488000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Potosi Project -  Minera Illapa,Potosi Project -  Minera Illapa,3786000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Potosi Project - Sinchi Wayra,Potosi Project - Sinchi Wayra,16966000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Koudougou Project - Perkoa Mine,Koudougou Project - Perkoa Mine,1696000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
British Columbia Project - Coking Coal,British Columbia Project - Coking Coal,819000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Nunavut Project - Hackett,Nunavut Project - Hackett,44000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Ontario Project - Corporate,Ontario Project - Corporate,22980000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Ontario Project - Kidd,Ontario Project - Kidd,1282000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Ontario Project - Sudbury ,Ontario Project - Sudbury ,5754000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Quebec Project - Matagami,Quebec Project - Matagami,1273000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Quebec Project - Raglan,Quebec Project - Raglan,13718000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Quebec Project - various exploration projects,Quebec Project - various exploration projects,108000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Badila Field Project,Badila Field Project,46680000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
DOH Project ,DOH Project ,250000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Doseo / Borogop Project ,Doseo / Borogop Project ,708000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Kibea EXA ,Kibea EXA ,2000000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Krim EXA ,Krim EXA ,2000000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Mangara Field Project ,Mangara Field Project ,28242000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
IV Region Coquimbo Project - Minera Punitaqui,IV Region Coquimbo Project - Minera Punitaqui,230000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Sierra Gorda - II Region Antofagosta Project - Minera Lomas Bayas,Sierra Gorda - II Region Antofagosta Project - Minera Lomas Bayas,1184000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Cesar Department Project - Prodeco,Cesar Department Project - Prodeco,136801000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
DRC Copperbelt Region Project ,DRC Copperbelt Region Project ,363964000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Block EG-05 Project ,Block EG-05 Project ,393000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Block I - Aseng Project ,Block I - Aseng Project ,142167000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Block O - Alen Project,Block O - Alen Project,153211000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Block V Project ,Block V Project ,279000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
North-East Kazakhstan Project - Kazzinc,North-East Kazakhstan Project - Kazzinc,145876000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Karas Project - Rosh Pinah Mine,Karas Project - Rosh Pinah Mine,7702000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Cusco Project - Minera Antapaccay,Cusco Project - Minera Antapaccay,85648000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Huarochiri Project - Minera Los Quenuales,Huarochiri Project - Minera Los Quenuales,1333000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Oyon Project - Minera Los Quenuales,Oyon Project - Minera Los Quenuales,2644000,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
Mpumalanga Province Project - Thermal Coal,Mpumalanga Province Project - Thermal Coal,12608959,USD,Glencore plc,,2015-12-31,1,,Extractives Report,,29 Aug 2016
