ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Scott,,245027,GBP,Nexen Petroleum UK Limited,01051137,2015-12-31,2,,Extractives Report,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
OGA Levy,,270906,GBP,Nexen Petroleum UK Limited,01051137,2015-12-31,2,,Extractives Report,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
E444,,2000,GBP,Nexen Petroleum UK Limited,01051137,2015-12-31,2,,Extractives Report,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
P1192,,349800,GBP,Nexen Petroleum UK Limited,01051137,2015-12-31,2,,Extractives Report,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
P1298,,166440,GBP,Nexen Petroleum UK Limited,01051137,2015-12-31,2,,Extractives Report,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
P1420,,375570,GBP,Nexen Petroleum UK Limited,01051137,2015-12-31,2,,Extractives Report,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
P1560,,53760,GBP,Nexen Petroleum UK Limited,01051137,2015-12-31,2,,Extractives Report,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
P1580,,19320,GBP,Nexen Petroleum UK Limited,01051137,2015-12-31,2,,Extractives Report,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
P1801,,40590,GBP,Nexen Petroleum UK Limited,01051137,2015-12-31,2,,Extractives Report,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
P1829,,167310,GBP,Nexen Petroleum UK Limited,01051137,2015-12-31,2,,Extractives Report,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
P185,,76300,GBP,Nexen Petroleum UK Limited,01051137,2015-12-31,2,,Extractives Report,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
P1893,,60510,GBP,Nexen Petroleum UK Limited,01051137,2015-12-31,2,,Extractives Report,In accordance with paragraph 44 in the statement of reasons for the EU Accounting Directive and for comparability with UK EITI reporting interest has been included within the tax figures,10 Jan 2017
