ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
P019,P019,46606,GBP,Repsol Sinopec Resources UK Limited,00825828,2015-12-31,1,,Extractives Report,,28 Nov 2016
P020,P020,43357,GBP,Repsol Sinopec Resources UK Limited,00825828,2015-12-31,1,,Extractives Report,,28 Nov 2016
P073,P073,55885,GBP,Repsol Sinopec Resources UK Limited,00825828,2015-12-31,1,,Extractives Report,,28 Nov 2016
P079,P079,7714,GBP,Repsol Sinopec Resources UK Limited,00825828,2015-12-31,1,,Extractives Report,,28 Nov 2016
P101,P101,13370,GBP,Repsol Sinopec Resources UK Limited,00825828,2015-12-31,1,,Extractives Report,,28 Nov 2016
P1031,P1031,54111,GBP,Repsol Sinopec Resources UK Limited,00825828,2015-12-31,1,,Extractives Report,,28 Nov 2016
P111,P111,10547,GBP,Repsol Sinopec Resources UK Limited,00825828,2015-12-31,1,,Extractives Report,,28 Nov 2016
P116,P116,11305,GBP,Repsol Sinopec Resources UK Limited,00825828,2015-12-31,1,,Extractives Report,,28 Nov 2016
P1621,P1621,50009,GBP,Repsol Sinopec Resources UK Limited,00825828,2015-12-31,1,,Extractives Report,,28 Nov 2016
P1622,P1622,227125,GBP,Repsol Sinopec Resources UK Limited,00825828,2015-12-31,1,,Extractives Report,,28 Nov 2016
P1806,P1806,8369,GBP,Repsol Sinopec Resources UK Limited,00825828,2015-12-31,1,,Extractives Report,,28 Nov 2016
P185,P185,57740,GBP,Repsol Sinopec Resources UK Limited,00825828,2015-12-31,1,,Extractives Report,,28 Nov 2016
P187,P187,50208,GBP,Repsol Sinopec Resources UK Limited,00825828,2015-12-31,1,,Extractives Report,,28 Nov 2016
P1880,P1880,69779,GBP,Repsol Sinopec Resources UK Limited,00825828,2015-12-31,1,,Extractives Report,,28 Nov 2016
P1939,P1939,3899,GBP,Repsol Sinopec Resources UK Limited,00825828,2015-12-31,1,,Extractives Report,,28 Nov 2016
P2049,P2049,12494,GBP,Repsol Sinopec Resources UK Limited,00825828,2015-12-31,1,,Extractives Report,,28 Nov 2016
P2053,P2053,88784,GBP,Repsol Sinopec Resources UK Limited,00825828,2015-12-31,1,,Extractives Report,,28 Nov 2016
P219,P219,65927,GBP,Repsol Sinopec Resources UK Limited,00825828,2015-12-31,1,,Extractives Report,,28 Nov 2016
P220,P220,30423,GBP,Repsol Sinopec Resources UK Limited,00825828,2015-12-31,1,,Extractives Report,,28 Nov 2016
