ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
PILBARA,AUS01,3043228512,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
IRON ORE COMPANY OF CANADA,CAN01,937576,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
SIMANDOU,GIN01,52995,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
OYU TOLGOI,MNG01,185359617,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
KENNECOTT UTAH COPPER,USA01,-117192897,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
RESOLUTION COPPER,USA02,-13091752,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
GRASBERG,IDN01,-5781068,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
LA GRANJA,PER01,8900000,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
NEW SOUTH WALES COAL,AUS02,246254028,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
QUEENSLAND COAL,AUS03,-10440481,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
ARGYLE,AUS04,-72213584,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
DIAVIK,CAN02,63570052,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
ROSSING,NAM01,5033528,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
RIO TINTO FER ET TITANE,CAN03,-2044705,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
QIT MADAGASCAR MINERALS,MDG01,679440,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
RICHARDS BAY MINERALS,ZAF01,90582871,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
US BORAX,USA03,36057425,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
DAMPIER SALT,AUS05,16445186,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
MUROWA,ZWE01,3859594,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
GOVE,AUS06,45731057,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
WEIPA INCLUDING AMRUN,AUS07,81915576,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
EXPLORATION - ARGENTINA,ARGEXP01,399739,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
EXPLORATION - AUSTRALIA,AUSEXP01,-10608123,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
EXPLORATION - BRAZIL,BRAEXP01,354611,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
EXPLORATION - CHILE,CHLEXP01,555753,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
EXPLORATION - COLUMBIA,COLEXP01,341011,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
EXPLORATION - PERU,PEREXP01,6197462,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
EXPLORATION - USA - KENNECOTT,USAEXP01,-8113122,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
EXPLORATION - USA - OTHER,USAEXP02,-1000000,USD,Rio Tinto PLC,00719885,2015-12-31,1,,Extractive Industry Reporting,,29 Jun 2016
