ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
M'boundi,COD01,15127543,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Ceiba,GNQ01,10006583,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Okume Complex,GNQ02,23185210,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Jubilee,GHA01,44466150,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
PSC B (Chinguetti EEA),MRT04,3142335,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
CI-26 Espoir,CIV01,273751,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
 Tullow Oil SK Limited,GBR01,-631936,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
49/24F1 (Gawain) 49/29a (part),GBR02,96271,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Bannu West,PAK01,7842,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Berenty (Block 3111),MDG01,300000,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Block 10BA,KEN01,158100,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Block 10BB,KEN02,92580,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Block 12A,KEN03,92340,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Block 12B,KEN04,124000,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Block 13T,KEN05,18876,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Block 47,SUR01,257689,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Block 54,SUR02,257689,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Block C-10,MRT01,24150,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Block C-18,MRT02,26450,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Block C-3,MRT03,19650,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Boulton B & F,GBR03,64465,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Deben Wensum,GBR03,1965,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
E10,NLD01,64796,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
E11,NLD02,32333,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
E14,NLD03,65119,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
E15b,NLD04,3108,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
E15c,NLD05,36949,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
E18a,NLD06,24408,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
E18b,NLD07,31024,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Echira,GAB01,1303643,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Etame,GAB02,3123930,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Ezanga,GAB03,20706470,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
F16E,NLD08,1438,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Gawain,GBR04,10615,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Horne,GBR05,89587,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Horne & Wren,GBR06,191207,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Ingongo,GAB04,94142,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Jubilee,GHA01,915219,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Kalchas,PAK02,9008,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Katy,GBR07,115442,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Kelvin,GBR08,129854,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Ketch,GBR09,299158,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Kohat,PAK03,4000,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Kohlu,PAK04,3000,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Limande,GAB05,3235887,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Mandabe (Block 3109),MDG02,300000,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
M'Oba,GAB06,157462,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Munro (44/17B),GBR10,60201,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Murdoch K,GBR10,259624,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Niungo,GAB07,3013410,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
Oba,GAB08,1105736,USD,Tullow Oil PLC,03919249,2015-12-31,1,,Extractives Report,,28 Nov 2016
